,0
0,ERCC-00019
1,ERCC-00144
2,ERCC-00170
3,ERCC-00051
4,ERCC-00034
5,ERCC-00099
6,ERCC-00157
7,ERCC-00143
8,ERCC-00163
9,ERCC-00059
10,ERCC-00160
11,Satb2
12,Sdpr
13,Prss56
14,St8sia4
15,Rab29
16,Phlda3
17,Mr1
18,Lypd6
19,Bdnf
20,Bmp2
21,Ccdc3
22,Gata3
23,Ptges
24,Lhx6
25,Rbm43
26,Nr4a2
27,Dlx1
28,Dlx1as
29,Alx4
30,3110099E03Rik
31,Gfra4
32,Emilin3
33,Slc2a10
34,Edn3
35,Rbm46
36,Cyp7b1
37,2610316D01Rik
38,Synpo2
39,Col25a1
40,2700069I18Rik
41,Spry1
42,Bdh2
43,Inadl
44,Col27a1
45,Adamtsl1
46,Klf4
47,Kank4
48,Foxd2os
49,Col9a2
50,Rspo1
51,Magi2
52,Acad10
53,Eln
54,AW549542
55,Wbscr27
56,Zcwpw1
57,Wnt5b
58,Tspan11
59,Eva1a
60,Anxa4
61,Gxylt2
62,Rerg
63,Eps8
64,Itpr2
65,Dlx5
66,Dlx6os1
67,Tac1
68,Npy
69,Cyp26b1
70,Gata2
71,Ntf3
72,Plbd1
73,Mgp
74,Sspn
75,Pthlh
76,Cpxm2
77,Rab38
78,Lsp1
79,Cdc42ep5
80,Ccdc106
81,Mia
82,Aldh1a3
83,Plekhb1
84,Calca
85,Ctf1
86,6430573F11Rik
87,LOC102636514
88,Cd97
89,Nfix
90,Irx5
91,Slc9a5
92,Nqo1
93,Rora
94,Naalad2
95,Lrrc1
96,Tagln
97,Chrna5
98,Tbx18
99,Foxl2os
100,2610018G03Rik
101,Zfp185
102,Prrg1
103,Nrk
104,Nhs
105,Timp1
106,Il13ra1
107,Dcaf12l1
108,Zxdb
109,Spin4
110,Cited1
111,Tbx22
112,Tnmd
113,Armcx6
114,Kctd12b
115,Frk
116,Esr1
117,Eya4
118,Bicc1
119,Epyc
120,Lgr5
121,Pmel
122,Samd5
123,Rab32
124,Onecut3
125,Glt8d2
126,1810014B01Rik
127,Kera
128,Avpr1a
129,Adora2b
130,Slc2a4
131,C1qtnf1
132,Pax9
133,L3hypdh
134,Tmem30b
135,Gsc
136,Rnf182
137,Cap2
138,Aspn
139,Fgf10
140,Inhba
141,Foxf2
142,Fam120aos
143,Pitx1
144,Thbs4
145,Samd4
146,Adcy4
147,Ripk3
148,Pdlim2
149,Dct
150,Pdzd2
151,Sh3bp1
152,Tenc1
153,Wisp1
154,Scx
155,C1qtnf6
156,Il1rap
157,Emp2
158,Fam43a
159,St3gal6
160,Vgll3
161,Airn
162,Plekhh2
163,Tead3
164,Nr3c1
165,Prr16
166,Nfatc1
167,Apcdd1
168,Malt1
169,Neurl1a
170,Hpse2
171,Aldh1a7
172,Papss2
173,E330013P04Rik
174,Ltbp3
175,Ifit2
176,Emx2os
177,Emx2
