,0
0,ERCC-00116
1,ERCC-00154
2,ERCC-00085
3,ERCC-00148
4,ERCC-00126
5,ERCC-00150
6,ERCC-00039
7,ERCC-00077
8,Adora1
9,Cflar
10,Syt14
11,Pld5
12,Lmx1a
13,Lactb2
14,A830018L16Rik
15,Efhc1
16,Dnah7b
17,Dnah7a
18,Plcl1
19,Pard3b
20,Spag16
21,Erbb4
22,Sh3bp4
23,Slc16a14
24,Pask
25,Cdh7
26,Dpp10
27,Cdk18
28,Rab3gap1
29,Kcnt2
30,Brinp3
31,Cdc73
32,1700025G04Rik
33,Rasal2
34,Rabgap1l
35,Rgs7
36,Itpkb
37,Smyd3
38,Ptpn14
39,Rps6kc1
40,Tgfb2
41,Esrrg
42,Ush2a
43,A330023F24Rik
44,Xkr4
45,Rgs20
46,Mybl1
47,Adhfe1
48,Tcf24
49,Eya1
50,Kcnb2
51,Stau2
52,Jph1
53,Pkhd1
54,Kcnq5
55,Rims1
56,Rims1.1
57,Col19a1
58,Fam178b
59,4930594C11Rik
60,2010300C02Rik
61,Mgat4a
62,Mitd1
63,Aff3
64,Tbc1d8
65,Il1r1
66,Uxs1
67,Nck2
68,Mfsd6
69,Pms1
70,Ccdc150
71,Hecw2
72,9430016H08Rik
73,Aox1
74,Tmem237
75,Stradb
76,Ica1l
77,Adam23
78,Plekhm3
79,Pikfyve
80,Unc80
81,Ikzf2
82,Vwc2l
83,Bard1
84,Atic
85,Smarcal1
86,04-Mar
87,Pnkd
88,Zfp142
89,Nhej1
90,Epha4
91,Sgpp2
92,Rhbdd1
93,Col4a4
94,Col4a3
95,Armc9
96,Efhd1
97,Ngef
98,Lrrfip1
99,Klhl30
100,Thap4
101,D2hgdh
102,Farp2
103,Gin1
104,D1Ertd622e
105,B230216N24Rik
106,Pign
107,Phlpp1
108,Bcl2
109,Gli2
110,Ptpn4
111,Sctr
112,Ccdc93
113,Slc35f5
114,Nckap5
115,Mgat5
116,Zranb3
117,Srgap2
118,Lemd1
119,Lrrn2
120,Lgr6
121,Ppp1r12b
122,Syt2
123,Dennd1b
124,Nek7
125,Crb1
126,Cfh
127,Hmcn1
128,Edem3
129,Fam129a
130,Swt1
131,Ncf2
132,Colgalt2
133,Fam163a
134,Acbd6
135,Rfwd2
136,Nme7
137,Gm16701
138,Nos1ap
139,Atf6
140,Olfml2b
141,Pcp4l1
142,Kcnj10
143,Fmn2
144,Grem2
145,Sdccag8
146,Ephx1
147,Disp1
148,Gpatch2
149,Spata17
150,Ppp2r5a
151,Batf3
152,Traf5
153,Hhat
154,Kcnh1
155,Traf3ip3
156,Cr2
157,Tcea1
158,Oprk1
159,Pcmtd1
160,3110035E14Rik
161,Snhg6
162,Mcmdc2
163,Snord87
164,Gm5523
165,Terf1
166,Paqr8
167,Tram2
168,Tmem14a
169,B3gat2
170,1110058L19Rik
171,Gm20172
172,Ptp4a1
173,Gm5415
174,1700001G17Rik
175,Rab23
176,Bag2
177,Bend6
178,Gm15455
179,Ccdc115
180,Arhgef4
181,Neurl3
182,Arid5a
183,Fer1l5
184,Ankrd39
185,Cnnm3
186,Sema4c
187,Cnnm4
188,Ankrd23
189,Tsga10
190,Lipt1
191,Rev1
192,Chst10
193,Rpl31
194,Cnot11
195,Gm16894
196,Il1rl2
197,Mfsd9
198,Pou3f3
199,2900092D14Rik
200,Tgfbrap1
201,Fhl2
202,Nabp1
203,Stat1
204,Nab1
205,Tmem194b
206,1700019D03Rik
207,Hibch
208,Osgepl1
209,Stk17b
210,Gtf3c3
211,Coq10b
212,Mars2
213,9130024F11Rik
214,Tyw5
215,1700066M21Rik
216,4930558J18Rik
217,Kctd18
218,Aox4
219,Fam126b
220,Casp8
221,Trak2
222,Mpp4
223,Als2
224,Cdk15
225,Carf
226,4930487H11Rik
227,Ino80dos
228,Ino80d
229,Snora41
230,Dytn
231,Mettl21a
232,Ccnyl1
233,2810408I11Rik
234,Kansl1l
235,Pecr
236,Rpl37a
237,Ctdsp1
238,Bcs1l
239,Stk36
240,Rnf25
241,Ttll4
242,Cyp27a1
243,Zfand2b
244,Ankzf1
245,Glb1l
246,Resp18
247,Dnajb2
248,Speg
249,Gmppa
250,Asic4
251,Tmem198
252,Slc4a3
253,Inha
254,Utp14b
255,Kcne4
256,Scg2
257,Mrpl44
258,Slc19a3
259,Fbxo36
260,B3gnt7
261,Nppc
262,Kcnj13
263,Dnajb3
264,Hjurp
265,4933400F21Rik
266,Ackr3
267,Scly
268,Ube2f
269,Espnl
270,Fam132b
271,Per2
272,Traf3ip1
273,Dusp28
274,Capn10
275,Sned1
276,Bok
277,Ing5
278,Fam174a
279,Tnfrsf11a
280,Zcchc2
281,Kdsr
282,Serpinb8
283,Cdh19
284,Dsel
285,2900060B14Rik
286,Tmem185b
287,Tmem177
288,Tmem37
289,3110009E18Rik
290,Insig2
291,Ddx18
292,2900009J06Rik
293,Cd55
294,AA986860
295,Pfkfb2
296,Yod1
297,Dyrk3
298,Ikbke
299,Fam72a
300,5430435G22Rik
301,Pm20d1
302,Slc41a1
303,Elk4
304,Nuak2
305,Klhdc8a
306,Dstyk
307,Tmem81
308,Gm10538
309,Etnk2
310,Sox13
311,Zbed6
312,Lax1
313,Atp2b4
314,Optc
315,Fmod
316,Chil1
317,Myog
318,Ube2t
319,Ptprv
320,Lmod1
321,Ddx59
322,9230116N13Rik
323,Kif14
324,Nr5a2
325,Lhx9
326,2310009B15Rik
327,Zbtb41
328,B3galt2
329,Rgs2
330,BC003331
331,Prg4
332,C730036E19Rik
333,Tsen15
334,Shcbp1l
335,Npl
336,Rgs16
337,Rgs8
338,Rnasel
339,Glul
340,Qsox1
341,Tor1aip1
342,Soat1
343,Tor3a
344,BC026585
345,Tnn
346,Cenpl
347,Zbtb37
348,Serpinc1
349,Snord47
350,Klhl20
351,Ankrd45
352,Dnm3os
353,Vamp4
354,Mettl13
355,Fmo2
356,Gorab
357,Scyl3
358,Mettl18
359,Ccdc181
360,Slc19a2
361,Blzf1
362,Sft2d2
363,Rgs5
364,3110045C21Rik
365,Uhmk1
366,Gm7694
367,Dusp12
368,1700009P17Rik
369,Apoa2
370,Ppox
371,Adamts4
372,Tomm40l
373,Pfdn2
374,Nit1
375,Tstd1
376,Klhdc9
377,Alyref2
378,Vangl2
379,Casq1
380,Igsf8
381,Dusp23
382,Aim2
383,Chml
384,Opn3
385,Cox20
386,Efcab2
387,Tfb2m
388,Adck3
389,Psen2
390,Gm5069
391,6330403A02Rik
392,Mir6904
393,Lin9
394,Aida
395,Taf1a
396,Dusp10
397,1700056E22Rik
398,Lyplal1
399,Rrp15
400,D1Pas1
401,9330162B11Rik
402,Prox1
403,Tatdn3
404,Nsl1
405,Mfsd7b
406,Tmem206
407,Nenf
408,1700034H15Rik
409,Slc30a1
410,Rcor3
411,Gm10516
412,A130010J15Rik
413,Diexf
414,G0s2
415,Cd46
416,Cr1l
417,Gm13483
418,Upp2
419,Phf21a
420,Ninl
421,Sfmbt2
422,Pfkfb3
423,Pip4k2a
424,Crat
425,Qsox2
426,Mbd5
427,Galnt13
428,Kcnj3
429,Cacnb4
430,Kcnh7
431,Tanc1
432,Zak
433,Osbpl6
434,Zfp385b
435,Ttc17
436,Immp1l
437,Exd1
438,Slc30a4
439,Frmd5
440,Zc3h6
441,Plcb1
442,Macrod2
443,Dtd1
444,Syndig1
445,BC039771
446,Eya2
447,Tshz2
448,Zbtb46
449,Bend7
450,Upf2
451,Camk1d
452,Dhtkd1
453,Usp6nl
454,Kin
455,Taf3
456,Itih5
457,Prkcq
458,Itga8
459,Pter
460,Plxdc2
461,Nebl
462,Etl4
463,Gpr158
464,Pdss1
465,Pnpla7
466,Nacc2
467,Fam163b
468,Vav2
469,Ak8
470,Ntng2
471,Phyhd1
472,Tbc1d13
473,Ciz1
474,Pomt1
475,Ralgps1
476,Zbtb34
477,Mvb12b
478,Mrrf
479,Ttll11
480,Dennd1a
481,Golga1
482,Scai
483,Kynu
484,Gtdc1
485,Epc2
486,Lypd6b
487,Neb
488,Acvr1
489,Pkp4
490,Tank
491,Fap
492,Cobll1
493,Ttc21b
494,Scn1a
495,Gm13629
496,Cers6
497,Mettl8
498,Plekha3
499,Pde1a
500,Zfp804a
501,Itgav
502,Tnks1bp1
503,Ptprj
504,Creb3l1
505,Lrp4
506,Ambra1
507,Accs
508,B230118H07Rik
509,Pamr1
510,Hipk3
511,Cd59b
512,Ccdc73
513,Elp4
514,Mettl15
515,Kif18a
516,Aven
517,Ryr3
518,BC052040
519,Rasgrp1
520,Fsip1
521,Ino80
522,Tyro3
523,Ganc
524,Cdan1
525,Mfap1a
526,4930517E11Rik
527,Cep152
528,Fbn1
529,Galk2
530,Itpripl1
531,Ap4e1
532,Mertk
533,Sirpa
534,4930473A02Rik
535,Rnf24
536,Plcb4
537,Slx4ip
538,Tasp1
539,Ism1
540,Kif16b
541,Slc24a3
542,Ralgapa2
543,Kiz
544,Tbc1d20
545,6820408C15Rik
546,Tspyl3
547,Snta1
548,Chmp4b
549,Gss
550,Cnbd2
551,Epb4.1l1
552,Rbl1
553,D630003M21Rik
554,Vstm2l
555,Zhx3
556,Tox2
557,Slc35c2
558,Dnttip1
559,Pcif1
560,Cdh22
561,Arfgef2
562,Nfatc2
563,Zfp64
564,Zfp217
565,Bcas1
566,Bmp7
567,Rab22a
568,Gm14420
569,Cdh4
570,Taf4a
571,Col20a1
572,Col9a3
573,Gmeb2
574,Rpp38
575,Dclre1c
576,Optn
577,Proser2
578,Echdc3
579,5031426D15Rik
580,4930412O13Rik
581,Itih2
582,Ankrd16
583,Trdmt1
584,Ptpla
585,Stamos
586,Nsun6
587,A930004D18Rik
588,Gm17762
589,Skida1
590,Bmi1
591,Msrb2
592,Gm13375
593,Thnsl1
594,Mastl
595,Spopl
596,Hnmt
597,Dph7
598,Zmynd19
599,Rnf208
600,Tmem203
601,Tprn
602,Dpp7
603,Sapcd2
604,AA543186
605,C8g
606,Abca2
607,Traf2
608,Tmem141
609,Mamdc4
610,Gm996
611,Bmyc
612,Kcnt1
613,Snapc4
614,Inpp5e
615,Fam69b
616,Snora43
617,Snhg7
618,Surf2
619,Rpl7a
620,Sardh
621,Rxra
622,Ppp1r26
623,Ddx31
624,Ttf1
625,6530402F18Rik
626,Trub2
627,Cercam
628,Urm1
629,Coq4
630,Zer1
631,Pkn3
632,Zdhhc12
633,Wdr34
