,0
0,Khdrbs2
1,Rassf5
2,Amer3
3,Ppfia4
4,Ier5
5,Fmo1
6,Rxrg
7,Mpz
8,Atp1a2
9,Rd3
10,Pak7
11,Garnl3
12,Rapgef4
13,Cd82
14,Cd44
15,Shc4
16,Kcnb1
17,Arrdc1
18,BC029214
19,Slc2a6
20,Scn2a1
21,Gpr155
22,Rtn4rl2
23,Shf
24,Dzank1
25,Acss1
26,Dusp15
27,Dbndd2
28,Pmepa1
29,Ralyl
30,Bche
31,Prss12
32,Ndst4
33,Efna3
34,Ctsk
35,Nudt17
36,Kcna2
37,Gstm6
38,Fam219a
39,Abca1
40,Brinp1
41,Igsf21
42,Prdm16
43,Calb1
44,Cyp2j6
45,E130114P18Rik
46,Prkaa2
47,Epha8
48,Rap1gap
49,Padi2
50,Efhd2
51,Slc45a1
52,5930403L14Rik
53,Wbscr17
54,Grm3
55,Zfyve28
56,Hmx1
57,Cux2
58,Stard13
59,Gm8773
60,Cgref1
61,Cabp1
62,Hspb8
63,Srrm3
64,Adap1
65,Tmem130
66,Cntnap2
67,Kcp
68,Jazf1
69,Creb5
70,Tmtc1
71,Fam131b
72,Lrrtm1
73,Iqsec3
74,Adamts17
75,Ttc9b
76,Ppfia3
77,Luzp2
78,Sv2b
79,Gsg1l
80,Gpr123
81,Syt5
82,Cadm4
83,Tmem145
84,Dpf1
85,Car11
86,Sh3gl3
87,Gm4980
88,Rassf10
89,Fam57b
90,Itgal
91,Cbfa2t3
92,Cdh13
93,Spire2
94,Dusp26
95,Smim18
96,Mfap3l
97,Slc27a1
98,Fcho1
99,Pou4f2
100,Clgn
101,Junb
102,Necab2
103,Kirrel3
104,Cpne4
105,Arpp21
106,Scn5a
107,Eepd1
108,Scn10a
109,Adamts15
110,Islr2
111,Mras
112,Nlgn3
113,Ppef1
114,Cxx1b
115,Mamld1
116,Pnck
117,Pcdh15
118,Anks1b
119,Ppp1r14c
120,Syne1
121,Gpr126
122,D10Bwg1379e
123,Avil
124,Stx11
125,Hey2
126,Gm20597
127,Chst3
128,Lrrc75b
129,Lrrc3
130,Diras1
131,Celf5
132,Fbxo7
133,Kcnmb4
134,Car10
135,2610035D17Rik
136,Nefh
137,Fgf18
138,Hist3h2ba
139,Rnf112
140,Lgals9
141,04-Sep
142,1700106J16Rik
143,Cacnb1
144,Thra
145,Kcnh6
146,Nptx1
147,Aatk
148,Myt1l
149,Ahr
150,Syt16
151,Acot1
152,Unc79
153,1700086L19Rik
154,Map3k9
155,Prox2
156,Jag2
157,Crip1
158,Chrm3
159,Adcy2
160,Rgs7bp
161,Sfrp4
162,Id4
163,1110007C09Rik
164,Prrxl1
165,Nalcn
166,Rnase4
167,Cmtm5
168,Jph4
169,Fam124a
170,Nudt18
171,Plcxd3
172,Fam134b
173,Matn2
174,Col22a1
175,Tmem117
176,Acvr1b
177,Ly6h
178,Nrbp2
179,Kifc2
180,Syngr1
181,Nr4a1
182,Cadm2
183,Fgf12
184,Grik1
185,Adcy9
186,Ncam2
187,Runx1
188,Dscam
189,5330426P16Rik
190,Dlgap1
191,Galnt14
192,Grm4
193,AI413582
194,Egfl8
195,Atp6v1g2
196,Enpp4
197,Tmem178
198,Kctd16
199,Ankrd29
200,Lrrtm2
201,Cystm1
202,Pou4f3
203,Skor2
204,Cbln2
205,4930506M07Rik
206,Cpt1a
207,Ankrd13d
208,Cdc42ep2
209,Flrt1
210,Entpd1
211,Sema4g
212,Afap1l2
