,0
0,Pld5
1,Khdrbs2
2,Brinp2
3,Kcnb2
4,Ica1l
5,04-Mar
6,Rassf5
7,Syt2
8,Ephx1
9,Kcnh1
10,Msc
11,B3gat2
12,Amer3
13,Asic4
14,Scg2
15,Klhdc8a
16,Atp1a2
17,Galnt13
18,Kcnh7
19,Lrrc4c
20,Nebl
21,Ntng2
22,Zfp804a
23,Ano3
24,Kcnb1
25,Kcnt1
26,Slc2a6
27,6330409D20Rik
28,Nron
29,Scn2a1
30,Rtn4rl2
31,Gm13889
32,Ckmt1
33,Dzank1
34,Snph
35,Dusp15
36,Pex5l
37,Kcnd3
38,Slc7a14
39,Insrr
40,Efna3
41,Kcna2
42,Lingo2
43,Gabbr2
44,Brinp1
45,Frmd3
46,Hivep3
47,Csmd2
48,Runx3
49,Igsf21
50,Kcnab2
51,Calb1
52,N28178
53,Rims3
54,Dlgap3
55,A3galt2
56,Paqr7
57,Nipal3
58,Epha8
59,Rap1gap
60,Padi2
61,Slc45a1
62,Plch2
63,Kctd8
64,Wbscr17
65,Grm3
66,Jakmip1
67,Nwd2
68,Cux2
69,Gm8773
70,Cgref1
71,Gm5868
72,Gm7271
73,Cabp1
74,Hrk
75,Adap1
76,Tmem130
77,Ccser1
78,Cntn4
79,Slc6a1
80,Dgki
81,9430076C15Rik
82,Fam19a4
83,Tmtc1
84,Fam131b
85,AI854703
86,6330415B21Rik
87,Fbxo41
88,Slc6a13
89,Iqsec3
90,Eno2
91,Kcna1
92,Fam189a1
93,Ttc9b
94,Kcnc1
95,Sv2b
96,Gpr123
97,Syt5
98,Cadm4
99,Tmem145
100,Fxyd7
101,Dkkl1
102,Klhl35
103,Gm4980
104,Fam57b
105,Itgal
106,Fam155a
107,Bean1
108,Smim18
109,Clec18a
110,Cpne4
111,Arpp21
112,Scn5a
113,Arhgap20
114,Hcn4
115,Tmem25
116,AI593442
117,Celf6
118,Mst1r
119,Tmie
120,Dclk3
121,9530059O14Rik
122,Pcdh11x
123,Gpr64
124,Arhgef6
125,Gabra3
126,Kcnd1
127,Pcsk1n
128,Mamld1
129,Clvs2
130,Anks1b
131,Ano4
132,Rgs17
133,Scml4
134,Nav3
135,Trhde
136,Avil
137,Stx11
138,Lrrc75b
139,Trpm2
140,Diras1
141,Zfr2
142,Celf5
143,Tbc1d30
144,Itga7
145,Gabrg2
146,Car10
147,Srcin1
148,Ccdc85a
149,Stac2
150,Cntnap1
151,Cacng4
152,Tlx3
153,Pirt
154,Fgf11
155,E130309D14Rik
156,Kcnh4
157,Plekhh3
158,Kcnh6
159,Cacng5
160,Rab37
161,Nptx1
162,Bcl11b
163,Syt16
164,Sptb
165,Mfsd2b
166,Dbpht2
167,Prox2
168,Ryr2
169,Gfod1
170,Sv2c
171,Rgs7bp
172,D130043K22Rik
173,Nhlrc1
174,Tppp
175,Cartpt
176,Nrg3
177,D130009I18Rik
178,Kcnma1
179,Prrxl1
180,Xkr6
181,Jph4
182,Cpne6
183,Slitrk1
184,Fam134b
185,Gm5468
186,11-Mar
187,Sybu
188,Tmem117
189,Ly6h
190,Scrt1
191,Kifc2
192,Lrrc24
193,Syngr1
194,Pou6f1
195,Cadm2
196,Rbfox1
197,Fgf12
198,Stxbp5l
199,Ncam2
200,Ccdc116
201,Rtn4r
202,Gp1bb
203,Lrfn2
204,Kcnh8
205,Dlgap1
206,Galnt14
207,Grm4
208,Gpr116
209,Ttbk1
210,Sema6b
211,Cdkl4
212,Ablim3
213,Nol4
214,Cystm1
215,2900055J20Rik
216,Oacyl
217,Ccdc68
218,Cbln2
219,Fam189a2
220,4930506M07Rik
221,Cpt1a
222,8430431K14Rik
223,Kcnip2
