,0
0,Bai3
1,Mgat4a
2,Tbc1d8
3,D2hgdh
4,Farp2
5,Nckap5
6,Lrrn2
7,Kif26b
8,Paqr8
9,Tmem14a
10,Sema4c
11,Fhl2
12,Slc4a3
13,Rxrg
14,Nhlh1
15,Dusp10
16,Dennd1a
17,Tnks1bp1
18,Cd82
19,Tmem62
20,Shc4
21,Tspyl3
22,Zhx3
23,Cdh4
24,Col9a3
25,Arrdc1
26,Abca2
27,Ppapdc3
28,Hoxd1
29,Bahd1
30,Ppip5k1
31,Shf
32,Spef1
33,Acss1
34,Necab3
35,Tgm2
36,Dbndd2
37,Snx21
38,Znfx1
39,Pmepa1
40,Bhlhe23
41,Tcea2
42,Lrba
43,Arhgef11
44,Vav3
45,Prss12
46,Pcdh10
47,Lmna
48,S100a11
49,Ctsk
50,Gstm2
51,Cyb561d1
52,Triqk
53,Tdrd7
54,St3gal3
55,Zbtb8a
56,C77080
57,Ptchd2
58,Prdm16
59,Dnajb5
60,Aldh1b1
61,Frrs1l
62,Ago4
63,5730409E04Rik
64,Asap3
65,Pqlc2
66,Plekhm2
67,Dnajc16
68,Zfp933
69,5930403L14Rik
70,Naaa
71,Lphn3
72,Slc4a4
73,Actr3b
74,Rnft2
75,Hip1r
76,Nat8l
77,Wscd2
78,Slc8b1
79,Orai2
80,Ufsp1
81,BC037034
82,Foxk1
83,Zkscan14
84,Herc3
85,Mgll
86,Flnc
87,Ephb6
88,Zfp956
89,Ppm1k
90,Lrrtm1
91,Dqx1
92,Rab43
93,Plxnd1
94,Pex26
95,Foxj2
96,Luzp2
97,2900076A07Rik
98,Capn5
99,Tcerg1l
100,Ttyh1
101,6330408A02Rik
102,Bbc3
103,Mark4
104,Dedd2
105,C030039L03Rik
106,Dpf1
107,Zfp30
108,Zfp14
109,Lrfn3
110,Rras
111,Furin
112,Ankrd42
113,Kctd21
114,Stard10
115,Lyrm1
116,Zkscan2
117,Fbxl19
118,Zfp941
119,Tpcn2
120,Wwox
121,Cacna1a
122,Spire2
123,Evi5l
124,Lonrf1
125,Snx25
126,Mmaa
127,Cc2d1a
128,Tradd
129,Crispld2
130,Slc36a4
131,Dock3
132,Megf11
133,Rasl12
134,Tmem108
135,Zfp651
136,Phxr4
137,Swsap1
138,Igsf9b
139,Abcg4
140,Ccdc84
141,Scn2b
142,Rab39
143,Cib2
144,Loxl1
145,9530091C08Rik
146,Nphp3
147,Abhd14b
148,Cish
149,Sema3f
150,Diap2
151,Wdr44
152,Zmat1
153,Fam120c
154,Pim2
155,Pnck
156,Drp2
157,Mid2
158,Gpr173
159,Trappc2
160,Grik2
161,Fam184a
162,Dip2a
163,Gng7
164,Nuak1
165,Btbd11
166,Gm20300
167,Fam229b
168,Chst3
169,Susd2
170,Mex3d
171,Slc35e3
172,Dgka
173,Sfi1
174,Arhgap44
175,Rffl
176,Slc35e4
177,Aebp1
178,Acsl6
179,Slc36a1
180,2310047M10Rik
181,Per1
182,Atp1b2
183,Dlg4
184,Zfp3
185,4930563E22Rik
186,Camkk1
187,Tax1bp3
188,Wdr81
189,Slc43a2
190,Abhd15
191,Nek8
192,Tbx2
193,Itga3
194,Osbpl7
195,Arhgap23
196,Cisd3
197,Pip4k2b
198,Ghdc
199,Sstr2
200,Sphk1
201,Cbx4
202,Hexdc
203,Klhl29
204,Cmpk2
205,Ahr
206,Ptpn21
207,Ptprn2
208,Coch
209,Slc38a6
210,Sgpp1
211,Akap5
212,2310015A10Rik
213,Dnal1
214,Irf2bpl
215,Degs2
216,Slc25a29
217,Tmem121
218,Sirt5
219,Arhgef28
220,Id4
221,Gm16907
222,Cdk20
223,Zfp712
224,Ppp3cc
225,Abcc4
226,Nudt13
227,Kif13b
228,Rgcc
229,Irf9
230,Amer2
231,Cdh10
232,Fam105a
233,Acvr1b
234,Acot10
235,Rrm2b
236,Ndrg1
237,Tbrg3
238,Nr4a1
239,Plcxd2
240,Dnajc28
241,Trerf1
242,Gm16386
243,Crebrf
244,Gm1976
245,Dynlt1a
246,Dynlt1b
247,Tmem181b-ps
248,Gm4944
249,Flywch2
250,Eme2
251,Cyp4f16
252,AA388235
253,Egfl8
254,Enpp4
255,Tmem151b
256,Abcc10
257,Pcdhga7
258,Tmem241
259,Camk4
260,Arhgap26
261,Pcdhga12
262,Pcdhga11
263,Ccdc112
264,Mbd2
265,Sorcs1
266,Klc2
267,Stambpl1
268,Cnnm2
269,Pold4
270,Gal3st3
271,Flrt1
272,E030024N20Rik
273,Lipo1
274,Tbc1d12
275,Frat2
276,Tmem180
277,Dusp5
278,Nanos1
279,Csf2ra
