,0
0,Inpp4a
1,Kif1a
2,Cntn2
3,Xpr1
4,Cnst
5,Hs6st1
6,Wdfy1
7,Kif21b
8,Nr6a1
9,Slc1a2
10,Syt13
11,Ttbk2
12,Sema6d
13,4930402H24Rik
14,Npdc1
15,Rprm
16,Hoxd3
17,Map1a
18,Snap25
19,Chrna4
20,Stmn3
21,Samd10
22,Fbxw7
23,Serpini1
24,Ntrk1
25,Wdr47
26,Fam102b
27,Tram1l1
28,Bach2
29,Unc13b
30,Npr2
31,Elavl2
32,Draxin
33,Faxc
34,Plk3
35,Atp13a2
36,Acap3
37,Cdk14
38,Atp8a1
39,Fryl
40,Srrm4
41,Ncor2
42,Gpc2
43,Plxna4
44,08-Mar
45,Skap2
46,Rassf4
47,Gabarapl1
48,8430419L09Rik
49,Nav2
50,Tenm4
51,Apba2
52,Pgm2l1
53,Irgq
54,Aplp1
55,Map6
56,Gdpd5
57,Arrb1
58,Mapk3
59,Cmip
60,Ndrg4
61,Tppp3
62,Elavl3
63,Peak1
64,Arid3b
65,Rab6b
66,Cdkn2d
67,Chrna3
68,Scg3
69,Fbxo9
70,Wdr13
71,Zdhhc9
72,L1cam
73,Plxna3
74,Prkx
75,Magee1
76,Arg1
77,Tspyl4
78,Shc2
79,Apc2
80,Os9
81,Kif5a
82,Esyt1
83,Adam19
84,Ebf1
85,Zmiz2
86,Mgat4b
87,Vamp2
88,Neurl4
89,Hoxb9
90,Jup
91,Adam11
92,Ube2o
93,Nrcam
94,Akap6
95,Kif3c
96,Vash1
97,Pacs2
98,Edil3
99,Elmo1
100,Dapk1
101,Prkcd
102,3632451O06Rik
103,Ttll1
104,Peg13
105,5031439G07Rik
106,Mapk11
107,Cacnb3
108,Pi4ka
109,Kalrn
110,Pkd1
111,Zfp811
112,Gabbr1
113,Tmem63b
114,Dhx57
115,Greb1l
116,Wdr7
117,Epb4.1l4a
118,Onecut2
119,Sptbn2
120,Ablim1
121,Hspa12a
122,Gng3
123,Zfyve27
