,0
0,Pld5
1,Khdrbs2
2,Dock10
3,Brinp2
4,Kcnb2
5,Ica1l
6,04-Mar
7,Rassf5
8,Syt2
9,Ephx1
10,Kcnh1
11,Msc
12,B3gat2
13,Amer3
14,Resp18
15,Asic4
16,Scg2
17,Klhdc8a
18,Atp1a2
19,Galnt13
20,Kcnh7
21,Lrrc4c
22,Nebl
23,Ntng2
24,Scn7a
25,Zfp804a
26,Ano3
27,Kcnb1
28,6330409D20Rik
29,Nron
30,Scn2a1
31,Rtn4rl2
32,Gm13889
33,Ckmt1
34,Dzank1
35,Snph
36,Dusp15
37,Ralyl
38,Pex5l
39,Shox2
40,Kcnd3
41,Ndst4
42,Slc7a14
43,Insrr
44,Efna3
45,Kcna2
46,Ugt8a
47,Lingo2
48,Brinp1
49,Frmd3
50,Hivep3
51,Csmd2
52,Runx3
53,Igsf21
54,Kcnab2
55,Calb1
56,N28178
57,Rims3
58,Dlgap3
59,A3galt2
60,Paqr7
61,Nipal3
62,Epha8
63,Rap1gap
64,Padi2
65,Slc45a1
66,Plch2
67,Kctd8
68,Wbscr17
69,Grm3
70,Jakmip1
71,Nwd2
72,Cux2
73,Gm8773
74,Cgref1
75,Gm5868
76,Gm7271
77,Cabp1
78,Hrk
79,Adap1
80,Tmem130
81,Ccser1
82,Cntn4
83,Slc6a1
84,Dgki
85,9430076C15Rik
86,Fam19a4
87,Tmtc1
88,6330415B21Rik
89,Fbxo41
90,Slc6a13
91,Iqsec3
92,Eno2
93,Kcna1
94,Fam189a1
95,Ttc9b
96,Kcnc1
97,Sv2b
98,Gpr123
99,Syt5
100,Cadm4
101,Tmem145
102,Fxyd7
103,Dkkl1
104,Klhl35
105,Gm4980
106,Fam57b
107,Itgal
108,Sprn
109,Fam155a
110,Bean1
111,Smim18
112,Cpne4
113,Arpp21
114,Scn5a
115,Arhgap20
116,Hcn4
117,Scn10a
118,Pde4a
119,Tmem25
120,AI593442
121,Celf6
122,Mst1r
123,Tmie
124,Dclk3
125,9530059O14Rik
126,Pcdh11x
127,Gpr64
128,Arhgef6
129,Gabra3
130,Atp2b3
131,Kcnd1
132,Pcsk1n
133,Mamld1
134,Clvs2
135,Anks1b
136,Ano4
137,Rgs17
138,Scml4
139,Nav3
140,Trhde
141,Slc16a7
142,Avil
143,Stx11
144,Lrrc75b
145,Trpm2
146,Diras1
147,Zfr2
148,Celf5
149,Tbc1d30
150,Itga7
151,Gabrg2
152,Car10
153,Srcin1
154,Ccdc85a
155,Stac2
156,Cntnap1
157,Cacng4
158,Nefh
159,Tlx3
160,Pirt
161,Fgf11
162,E130309D14Rik
163,Kcnh4
164,Plekhh3
165,Kcnh6
166,Cacng5
167,Nptx1
168,Lrfn5
169,Syt16
170,Sptb
171,Mfsd2b
172,Dbpht2
173,1700086L19Rik
174,Plekhd1
175,Prox2
176,Chrm3
177,Ryr2
178,Gfod1
179,Sv2c
180,Rgs7bp
181,D130043K22Rik
182,Nhlrc1
183,Tppp
184,Cartpt
185,Kcnma1
186,Prrxl1
187,Xkr6
188,Jph4
189,Cpne6
190,Slitrk1
191,Fam134b
192,Gm5468
193,Sybu
194,Tmem117
195,Ly6h
196,Scrt1
197,Kifc2
198,Lrrc24
199,Syngr1
200,Pou6f1
201,Cadm2
202,Fgf12
203,Stxbp5l
204,Ncam2
205,Dscam
206,Ccdc116
207,Rtn4r
208,Gp1bb
209,Lrfn2
210,Kcnh8
211,Dlgap1
212,Galnt14
213,Grm4
214,Gpr116
215,Ttbk1
216,Sema6b
217,Cdkl4
218,Ablim3
219,Nol4
220,Kctd16
221,Cystm1
222,2900055J20Rik
223,Oacyl
224,Ccdc68
225,Cbln2
226,Fam189a2
227,4930506M07Rik
228,Cpt1a
229,8430431K14Rik
230,Kcnip2
