,0
0,ERCC-00116
1,ERCC-00131
2,ERCC-00062
3,ERCC-00019
4,ERCC-00144
5,ERCC-00170
6,ERCC-00154
7,ERCC-00085
8,ERCC-00028
9,ERCC-00033
10,ERCC-00134
11,ERCC-00147
12,ERCC-00097
13,ERCC-00156
14,ERCC-00123
15,ERCC-00017
16,ERCC-00083
17,ERCC-00035
18,ERCC-00025
19,ERCC-00051
20,ERCC-00053
21,ERCC-00148
22,ERCC-00126
23,ERCC-00034
24,ERCC-00150
25,ERCC-00067
26,ERCC-00031
27,ERCC-00109
28,ERCC-00073
29,ERCC-00158
30,ERCC-00104
31,ERCC-00142
32,ERCC-00138
33,ERCC-00117
34,ERCC-00075
35,ERCC-00162
36,ERCC-00071
37,ERCC-00084
38,ERCC-00099
39,ERCC-00054
40,ERCC-00157
41,ERCC-00143
42,ERCC-00039
43,ERCC-00058
44,ERCC-00120
45,ERCC-00040
46,ERCC-00164
47,ERCC-00024
48,ERCC-00016
49,ERCC-00012
50,ERCC-00098
51,ERCC-00057
52,ERCC-00165
53,ERCC-00079
54,ERCC-00078
55,ERCC-00163
56,ERCC-00059
57,ERCC-00160
58,ERCC-00014
59,ERCC-00077
60,ERCC-00069
61,ERCC-00137
62,ERCC-00013
63,ERCC-00168
64,ERCC-00041
65,ERCC-00081
66,ERCC-00086
67,ERCC-00061
68,ERCC-00048
69,Adora1
70,Sntg1
71,Bai3
72,Cflar
73,Gpr39
74,Syt14
75,Pld5
76,Lmx1a
77,1700112H15Rik
78,Lactb2
79,Cpa6
80,A830018L16Rik
81,Efhc1
82,Khdrbs2
83,1700066B17Rik
84,Dnah7b
85,Gpr45
86,Dnah7a
87,Pgap1
88,Plcl1
89,Pard3b
90,Spag16
91,Erbb4
92,Abca12
93,Pinc
94,D530049I02Rik
95,Dock10
96,Ugt1a9
97,Sh3bp4
98,Ugt1a10
99,Slc16a14
100,Pask
101,Cdh20
102,Serpinb12
103,Cdh7
104,Cntnap5a
105,Dpp10
106,Cdk18
107,Rab3gap1
108,Kcnt2
109,Pla2g4a
110,Brinp3
111,Cdc73
112,Brinp2
113,1700025G04Rik
114,Rasal2
115,Rcsd1
116,Rabgap1l
117,Fcrla
118,Rgs7
119,Itpkb
120,Smyd3
121,Cnih3
122,Mir297c
123,Ptpn14
124,Rps6kc1
125,Esrrg
126,Ush2a
127,A330023F24Rik
128,Xkr4
129,Rp1
130,Rgs20
131,Mybl1
132,Adhfe1
133,Sgk3
134,Tcf24
135,2610203C22Rik
136,Prex2
137,Mir467e
138,Sulf1
139,Eya1
140,Kcnb2
141,Stau2
142,Sbspon
143,Jph1
