,0
0,Prim2
1,Obsl1
2,Lonrf2
3,Dis3l2
4,Mapkapk2
5,Camsap2
6,Stx6
7,Trp53bp2
8,Akt3
9,St18
10,Cspp1
11,Slco5a1
12,Smap1
13,Plekhb2
14,Lman2l
15,Tmem131
16,Aff3
17,Map4k4
18,Mrps9
19,Ercc5
20,Ndufb3
21,Raph1
22,Nrp2
23,Zdbf2
24,Klf7
25,Dner
26,Pid1
27,Gigyf2
28,Agap1
29,Hdac4
30,Pam
31,Ccnt2
32,R3hdm1
33,Nfasc
34,Tmcc2
35,Plekha6
36,Klhl12
37,Rgl1
38,Dhx9
39,Lamc1
40,Abl2
41,2810025M15Rik
42,Astn1
43,Rc3h1
44,Suco
45,Dnm3
46,BC055324
47,Pou2f1
48,Uck2
49,Mgst3
50,Igsf9
51,Exo1
52,Cdc42bpa
53,Nvl
54,Fbxo28
55,Susd4
56,Rab3gap2
57,Bpnt1
58,Kctd3
59,Lpgat1
60,Plxna2
61,Rb1cc1
62,Rrs1
63,Vcpip1
64,Terf1
65,Ube2w
66,Tmem70
67,Gdap1
68,Ogfrl1
69,Lmbrd1
70,Phf3
71,Zfp451
72,Bag2
73,Kansl3
74,Cox5b
75,Unc50
76,Mrpl30
77,Txndc9
78,Pdcl3
79,Rnf149
80,AI597479
81,Tex30
82,Bivm
83,Ormdl1
84,Hspe1
85,Sgol2
86,Ppil3
87,Fzd7
88,Fam117b
89,Wdr12
90,Cyp20a1
91,Fastkd2
92,Creb1
93,Tmem169
94,Rpl37a
95,Fam134a
96,Abcb6
97,Cnppd1
98,Stk16
99,Atg9a
100,Ptprn
101,Stk11ip
102,Acsl3
103,Wdfy1
104,Mrpl44
105,Cul3
106,Irs1
107,Agfg1
108,Cops7b
109,Atg16l1
110,Dgkd
111,Ube2f
112,Asb1
113,Myeov2
114,Rnpepl1
115,Mterfd2
116,Ppp1r7
117,2310035C23Rik
118,Ralb
119,Epb4.1l5
120,Eif2d
121,Slc45a3
122,Rbbp5
123,Ppp1r15b
124,Zc3h11a
125,Atp2b4
126,Btg2
127,Cyb5r1
128,Rabif
129,Timm17a
130,Csrp1
131,Tmem9
132,Rgs2
133,Trmt1l
134,Smg7
135,Rgs8
136,Cep350
137,Soat1
138,Fam20b
139,Mrps14
140,Dars2
141,Pigc
142,Gorab
143,Atp1b1
144,Tiprl
145,Mpc2
146,Tada1
147,Pogk
148,Fam78b
149,Aldh9a1
150,Hsd17b7
151,Uap1
152,B4galt3
153,Usp21
154,Ufc1
155,Usf1
156,Vangl2
157,Pigm
158,Crp
159,Cadm3
160,Ackr1
161,Desi2
162,Ahctf1
163,H3f3a
164,Pycr2
165,Cnih4
166,Srp9
167,Brox
168,Mia3
169,Marc2
170,Iars2
171,Rrp15
172,Smyd2
173,Angel2
174,Nenf
175,Ints7
176,Nek2
177,Med27
178,Dab2ip
179,Mapkap1
180,Grb14
181,Slc25a12
182,Slc1a2
183,Slc23a2
184,Pcsk2
185,Itch
186,Phf20
187,Eya2
188,Rsu1
189,Arl5b
190,Dnajc1
191,Mllt10
192,Cacna1b
193,Edf1
194,Camsap1
195,Gpsm1
196,Gtf3c5
197,Gtf3c4
198,Rapgef1
199,Abl1
200,Nup214
201,Fubp3
202,Fam129b
203,Pbx3
204,Cntrl
205,Ndufa8
206,Rabgap1
207,Fmnl2
208,Gpd2
209,Fign
210,Csrnp3
211,Scn3a
212,Scn7a
213,Stk39
214,Ubr3
215,Tlk1
216,Itga6
217,Itga4
218,Tmx2
219,1110051M20Rik
220,Ext2
221,Pdhx
222,Elp4
223,Lgr4
224,Slc12a6
225,Emc7
226,Fmn1
227,Dph6
228,Spred1
229,Rmdn3
230,Vps39
231,Ttbk2
232,Casc4
233,Fbn1
234,Usp8
235,Tmem87b
236,Polr1b
237,4930402H24Rik
238,Ptpra
239,Atrn
240,Itpa
241,Tmx4
242,Jag1
243,Btbd3
244,Rin2
245,Apmap
246,Abhd12
247,Bcl2l1
248,Asxl1
249,Cep250
250,Rbm12
251,Pigu
252,Dlgap4
253,Epb4.1l1
254,Rbl1
255,Soga1
256,Ctnnbl1
257,Rprd1b
258,Ralgapb
259,Chd6
260,Pkig
261,Stk4
262,Slc35c2
263,Ncoa5
264,Zmynd8
265,Ncoa3
266,Atp9a
267,Dok5
268,Fam107b
269,Prpf18
270,Phyh
271,Mcm10
272,Nudt5
273,Fbxo18
274,Stam
275,Arhgap21
276,Abi1
277,Nsmf
278,Ndor1
279,Fbxw5
280,Phpt1
281,Rabl6
282,Ubac1
283,C330006A16Rik
284,Dnlz
285,Sec16a
286,Med22
287,Rexo4
288,Surf2
289,Rpl7a
290,Surf6
291,Setx
