,0
0,ERCC-00116
1,ERCC-00062
2,ERCC-00019
3,ERCC-00144
4,ERCC-00170
5,ERCC-00154
6,ERCC-00085
7,ERCC-00028
8,ERCC-00033
9,ERCC-00134
10,ERCC-00147
11,ERCC-00097
12,ERCC-00156
13,ERCC-00123
14,ERCC-00017
15,ERCC-00083
16,ERCC-00051
17,ERCC-00053
18,ERCC-00148
19,ERCC-00126
20,ERCC-00034
21,ERCC-00150
22,ERCC-00067
23,ERCC-00031
24,ERCC-00109
25,ERCC-00073
26,ERCC-00158
27,ERCC-00104
28,ERCC-00142
29,ERCC-00138
30,ERCC-00117
31,ERCC-00075
32,ERCC-00162
33,ERCC-00071
34,ERCC-00084
35,ERCC-00099
36,ERCC-00054
37,ERCC-00157
38,ERCC-00143
39,ERCC-00039
40,ERCC-00058
41,ERCC-00120
42,ERCC-00040
43,ERCC-00164
44,ERCC-00024
45,ERCC-00016
46,ERCC-00012
47,ERCC-00098
48,ERCC-00057
49,ERCC-00079
50,ERCC-00078
51,ERCC-00163
52,ERCC-00059
53,ERCC-00160
54,ERCC-00014
55,ERCC-00077
56,ERCC-00069
57,ERCC-00137
58,ERCC-00013
59,ERCC-00168
60,ERCC-00041
61,ERCC-00081
62,ERCC-00086
63,ERCC-00061
64,ERCC-00048
65,Adora1
66,Sntg1
67,Gpr39
68,Syt14
69,Pld5
70,Lmx1a
71,1700112H15Rik
72,Cpa6
73,A830018L16Rik
74,Efhc1
75,1700066B17Rik
76,Dnah7b
77,Gpr45
78,Dnah7a
79,Spag16
80,Erbb4
81,Abca12
82,Pinc
83,D530049I02Rik
84,Ugt1a9
85,Ugt1a10
86,Slc16a14
87,Cdh20
88,Serpinb12
89,Cdh7
90,Cntnap5a
91,Dpp10
92,Cdk18
93,Kcnt2
94,Pla2g4a
95,Brinp3
96,Fcrla
97,Itpkb
98,Cnih3
99,Mir297c
100,Ush2a
101,A330023F24Rik
102,Xkr4
103,Rp1
104,Rgs20
105,Mybl1
106,Adhfe1
107,Sgk3
108,Tcf24
109,2610203C22Rik
110,Mir467e
111,Kcnb2
112,Sbspon
113,Jph1
114,Defb44-ps
115,Tfap2d
116,Pkhd1
117,Kcnq5
118,Rims1
119,Rims1.1
120,Col19a1
121,Lgsn
122,4931428L18Rik
123,Ptpn18
124,Fam178b
125,Cnga3
126,4930594C11Rik
127,2010300C02Rik
128,Mgat4a
129,Npas2
130,Rfx8
131,Il1r1
132,Slc9a2
133,Il1r2
134,Uxs1
135,9330175M20Rik
136,Stat4
137,Ccdc150
138,Boll
139,9130227L01Rik
140,Satb2
141,Aox3
142,Aox1
143,Aox2
144,Ica1l
145,Mdh1b
146,Unc80
147,Ikzf2
148,Vwc2l
149,March4
150,6030407O03Rik
151,Des
152,Nhej1
153,Mogat1
154,Nyap2
155,Col4a4
156,Col4a3
157,Sphkap
158,Sp110
159,A630001G21Rik
160,Inpp5d
161,Efhd1
162,Ngef
163,Sag
164,Ugt1a7c
165,Ugt1a6b
166,Ugt1a5
167,Ugt1a2
168,Ugt1a6a
169,Trpm8
170,C030007H22Rik
