,0
0,ERCC-00116
1,ERCC-00131
2,ERCC-00062
3,ERCC-00019
4,ERCC-00144
5,ERCC-00170
6,ERCC-00154
7,ERCC-00085
8,ERCC-00028
9,ERCC-00033
10,ERCC-00134
11,ERCC-00147
12,ERCC-00097
13,ERCC-00156
14,ERCC-00123
15,ERCC-00017
16,ERCC-00083
17,ERCC-00035
18,ERCC-00025
19,ERCC-00051
20,ERCC-00053
21,ERCC-00148
22,ERCC-00126
23,ERCC-00034
24,ERCC-00150
25,ERCC-00067
26,ERCC-00031
27,ERCC-00109
28,ERCC-00073
29,ERCC-00158
30,ERCC-00104
31,ERCC-00142
32,ERCC-00138
33,ERCC-00117
34,ERCC-00075
35,ERCC-00162
36,ERCC-00071
37,ERCC-00084
38,ERCC-00099
39,ERCC-00054
40,ERCC-00157
41,ERCC-00143
42,ERCC-00039
43,ERCC-00058
44,ERCC-00120
45,ERCC-00040
46,ERCC-00164
47,ERCC-00024
48,ERCC-00016
49,ERCC-00012
50,ERCC-00098
51,ERCC-00057
52,ERCC-00165
53,ERCC-00079
54,ERCC-00078
55,ERCC-00163
56,ERCC-00059
57,ERCC-00160
58,ERCC-00014
59,ERCC-00077
60,ERCC-00069
61,ERCC-00137
62,ERCC-00013
63,ERCC-00168
64,ERCC-00041
65,ERCC-00081
66,ERCC-00086
67,ERCC-00061
68,ERCC-00048
69,Adora1
70,Sntg1
71,Bai3
72,Cflar
73,Gpr39
74,Syt14
75,Pld5
76,Lmx1a
77,1700112H15Rik
78,Lactb2
79,Cpa6
80,A830018L16Rik
81,Efhc1
82,1700066B17Rik
83,Dnah7b
84,Gpr45
85,Dnah7a
86,Spag16
87,Erbb4
88,Abca12
89,Pinc
90,D530049I02Rik
91,Ugt1a9
92,Ugt1a10
93,Slc16a14
94,Cdh20
95,Serpinb12
96,Cdh7
97,Cntnap5a
98,Dpp10
99,Cdk18
100,Kcnt2
101,Pla2g4a
102,Brinp3
103,Rcsd1
104,Fcrla
105,Itpkb
106,Cnih3
107,Mir297c
108,Esrrg
109,Ush2a
110,A330023F24Rik
111,Xkr4
112,Rp1
113,Rgs20
114,Mybl1
115,Adhfe1
116,Sgk3
117,Tcf24
118,2610203C22Rik
119,Mir467e
120,Kcnb2
121,Sbspon
122,Jph1
123,Defb44-ps
124,Tfap2d
125,Pkhd1
126,Kcnq5
127,Rims1
128,Rims1.1
129,Col19a1
130,Lgsn
131,4931428L18Rik
132,Ptpn18
133,Fam178b
134,Cnga3
135,4930594C11Rik
136,2010300C02Rik
137,Mgat4a
138,Npas2
139,Rfx8
140,Tbc1d8
141,Il1r1
142,Slc9a2
