,0
0,Lonrf2
1,Camsap2
2,Nmnat2
3,Akt3
4,Slco5a1
5,Smap1
6,Plekhb2
7,Inpp4a
8,Gls
9,Raph1
10,Klf7
11,Acadl
12,Dner
13,Pid1
14,Agap1
15,Hdac4
16,Tmem163
17,Nfasc
18,Tmcc2
19,Plekha6
20,Cacna1e
21,Xpr1
22,Astn1
23,Pappa2
24,Dnm3
25,Mgst3
26,Cdc42bpa
27,Cnst
28,Susd4
29,Mark1
30,Rab3gap2
31,Lpgat1
32,Ube2w
33,Gdap1
34,Ogfrl1
35,Bivm
36,Mreg
37,Fam134a
38,Cnppd1
39,Ptprn
40,Wdfy1
41,Agfg1
42,Asb1
43,2310035C23Rik
44,Ralb
45,Slc45a3
46,Cyb5r1
47,Arl8a
48,Kif21b
49,Cep350
50,Atp1b1
51,Pogk
52,Fam78b
53,Hsd17b7
54,B4galt3
55,Cadm3
56,Marc2
57,Celf2
58,Dab2ip
59,Grb14
60,Slc25a12
61,Slc1a2
62,Pcsk2
63,Cacna1b
64,Edf1
65,Camsap1
66,Pbx3
67,Gsn
68,Ndufa8
69,Acvr2a
70,Csrnp3
71,Scn3a
72,Scn7a
73,Stk39
74,Ubr3
75,Chn1
76,Sestd1
77,Itga4
78,1110051M20Rik
79,Mpped2
80,Fmn1
81,Vps39
82,Ttbk2
83,Casc4
84,Tmem87b
85,4930402H24Rik
86,Ptpra
87,Atrn
88,Tmx4
89,Abhd12
90,Ralgapb
91,Gdap1l1
92,Atp9a
93,Dok5
94,Myt1
95,Commd3
96,Arhgap21
97,Nsmf
98,Nrarp
99,Fbxw5
100,Ubac1
101,Slc27a4
102,Prdm12
103,Dpm2
104,Neurod1
105,Frzb
106,Madd
107,Mapk8ip1
108,Emc4
109,Scg5
110,Disp2
111,Ccndbp1
112,Map1a
113,Secisbp2l
114,1700037H04Rik
115,Prnp
116,Cds2
117,Gpcpd1
118,Napb
119,Commd7
120,Ggt7
121,Acss2
122,Src
123,B4galt5
124,Vapb
125,Ss18l1
126,Nkain4
127,Znf512b
128,Samd10
129,Rsrc1
130,Fbxw7
131,Pag1
132,Kcnmb2
133,Hspa4l
134,Rnf13
135,Dclk2
136,Fam63a
137,Lrig2
138,Dram2
139,Ndst3
140,Ppp3ca
141,Tspan5
142,Ddah1
143,Zc2hc1a
144,Hey1
145,Tpd52
146,Gnb4
147,Lxn
148,B3galnt1
149,Etfdh
150,Mab21l2
151,Rit1
152,Fdps
153,Rusc1
154,Fam189b
155,Shc1
156,Pmvk
157,Chrnb2
158,Snapin
159,Them4
160,Gdap2
161,Cttnbp2nl
162,Amigo1
163,Wdr47
164,Taf13
165,Tmem167b
166,Tram1l1
167,Ap1ar
168,Pigk
169,Bach2
170,E130309F12Rik
171,Ptprd
172,Casz1
173,Cpne3
174,Nkain3
175,Ccnc
176,Cntfr
177,Unc13b
178,Rusc2
179,Ptpn3
180,Snx30
181,Nfia
182,Dnajc6
183,Yipf1
184,Lrp8
185,Zyg11b
186,Ncdn
187,Nkain1
188,Runx3
189,Pik3cd
190,Camta1
191,Pdp1
192,Faxc
193,Lyrm2
194,3110043O21Rik
195,Aptx
196,Creb3
197,Gba2
198,Coro2a
199,Tmem246
200,Fsd1l
201,Gng10
202,Hsdl2
203,Atp6v1g1
204,Tle1
205,Rraga
206,Pgm2
207,Rnf11
208,Kdm4a
209,Ccdc23
210,Rimkla
211,Trappc3
212,Trim62
213,Stmn1
214,Sepn1
215,Tmem57
216,Pink1
217,Mfn2
218,Fbxo44
219,Gpr153
220,Acap3
221,Mmd2
222,Cdk14
223,Pclo
224,Sdk1
225,Cyth3
226,Katnal1
227,Adam22
228,Cacna2d1
229,Prkag2
230,Rgs12
231,Tbc1d19
232,Klhl5
233,Apbb2
234,Atp8a1
235,Fryl
236,Uso1
237,Mapk10
238,Cplx1
239,Fbrsl1
240,Svop
241,Sppl3
242,Srrm4
243,Trafd1
244,Ncor2
245,Col26a1
246,Prkar1b
247,Fam20c
248,Ttyh3
249,Slc7a1
250,Mtus2
251,Fry
252,Gatad1
253,Agap3
254,Cdk5
255,Nub1
256,Gareml
257,Atraid
258,Mpv17
259,Sel1l3
260,Smim14
261,Ccng2
262,Chfr
263,Mvk
264,1500011B03Rik
265,Wsb2
266,2410131K14Rik
267,Tbx3
268,Plbd2
269,Aldh2
270,Brap
271,Arpc3
272,Bcl7a
273,Ccdc92
274,Stx2
275,Crcp
276,Stx1a
277,Rhbdd2
278,Tmem120a
279,Ache
280,Actl6b
281,Gpc2
282,Cox19
283,Slc29a4
284,St7
285,Scrn1
286,March8
287,Plekha5
288,Ptpro
289,Dync1i1
290,Ube2h
291,Trim24
292,Kdm7a
293,Chn2
294,Nt5c3
295,Aak1
296,Podxl2
297,Fam19a4
298,Srgap3
299,Syn2
300,Tmcc1
301,Ccdc91
302,Bicd1
303,Amn1
304,Ndufa5
305,Impdh1
306,Atp6v1f
307,Ndufb2
308,Tmem176b
309,Snx10
310,Hoxa7
311,Mira
312,Mturn
313,Pyurf
314,St3gal5
315,Tmsb10
316,Gmcl1
317,Tmf1
318,Arl6ip5
319,Zfp637
320,Rimklb
321,Kcna6
322,Kcna1
323,8430419L09Rik
324,Cmas
325,C2cd5
326,Zfp536
327,Nav2
328,Gabrb3
329,Slco3a1
330,Tenm4
331,Chst8
332,Ntrk3
333,Arnt2
334,Gab2
335,Pgm2l1
336,Pde2a
337,Fam168a
338,Fchsd2
339,Insc
340,Chst15
341,Ebf3
342,Cend1
343,Dusp8
344,Ndufa3
345,Leng8
346,Ttyh1
347,Suv420h2
348,Chmp2a
349,Rtn2
350,Irgq
351,Rabac1
352,Cic
353,Megf8
354,Egln2
355,Pld3
356,Sirt2
357,Ech1
358,Yif1b
359,Capns1
360,Arhgap33
361,Fxyd7
362,Lrp3
363,Svip
364,D7Ertd715e
365,Synm
366,Arrdc4
367,St8sia2
368,2610034B18Rik
369,Unc45a
370,Gdpd5
371,Arrb1
372,Ucp2
373,Smpd1
374,Arfip2
375,Tub
376,Tmem9b
377,Dennd5a
378,Btbd10
379,Lcmt1
380,Coro1a
381,Ypel3
382,Mapk3
383,Rgs10
384,Inpp5f
385,Ppp2r2d
386,Hras
387,Deaf1
388,Slc25a22
389,Th
390,Cmip
391,Mast1
392,Mcf2l
393,Atp11a
394,Nrg1
395,Tnks
396,Tusc3
397,Mtus1
398,Acsl1
399,Nek1
400,Psd3
401,Tbc1d9
402,Rnf150
403,Lonp2
404,Zfp423
405,Chd9
406,Smpd3
407,Zfhx3
408,Zfp821
409,Znrf1
410,Jph3
411,Galnt2
412,Zfp358
413,Trappc5
414,BC068157
415,Cers4
416,Carkd
417,Tmco3
418,Polb
419,Plekha2
420,Ddhd2
421,Ppp2cb
422,Leprotl1
423,Dctn6
424,Ncan
425,Armc6
426,Rab3a
427,Mrpl34
428,Abhd8
429,Unc13a
430,Smad1
431,Prkaca
432,Zswim4
433,Tnpo2
434,Aktip
435,Gpr56
436,Mmp15
437,Tmem208
438,4931428F04Rik
439,Fam65a
440,Gfod2
441,Acd
442,Cenpt
443,Bcar1
444,Terf2ip
445,Fbxo31
446,Mvd
447,Trappc2l
448,Vps9d1
449,Rhou
450,Rab4a
451,Trim67
452,Clstn2
453,Olfm2
454,Clmp
455,Ubash3b
456,Dixdc1
457,Peak1
458,Ptpn9
459,Coro2b
460,Fam63b
461,Ick
462,Myo6
463,Snap91
464,Slc9a9
465,Bsn
466,Trak1
467,Ano10
468,Panx1
469,Cdkn2d
470,BC018242
471,Rab3d
472,Ddx25
473,Ei24
474,Scn3b
475,Bace1
476,Sidt2
477,Timm8b
478,Alg9
479,Scamp5
480,Csk
481,Stra6
482,Oaz2
483,Rnf111
484,Gm16551
485,Fbxo9
486,Elovl4
487,1190002N15Rik
488,Chst2
489,Tusc2
490,Rnf123
491,Tcta
492,Klhdc8b
493,Celsr3
494,Epm2aip1
495,Gpr64
496,Otud5
497,Wdr13
498,Mospd1
499,Cxx1c
500,Cd99l2
501,Pcyt1b
502,Acsl4
503,Sh3kbp1
504,Praf2
505,Syp
506,Gripap1
507,Pcsk1n
508,Mid1ip1
509,Ndufb11
510,Syn1
511,Ndufa1
512,Mcts1
513,Ocrl
514,Zdhhc9
515,Bgn
516,Prkx
517,Zc4h2
518,Zmym3
519,Nap1l2
520,Magee1
521,Zcchc18
522,Kcne1l
523,2210013O21Rik
524,Map7d2
525,Micu1
526,Ric8b
527,Dcn
528,Grip1
529,Fam19a2
530,Lrp11
531,Hivep2
532,9330159F19Rik
533,Fyn
534,Lama4
535,Slc35f1
536,Bcr
537,Cdk17
538,Vezt
539,Lin7a
540,Syt1
541,Osbpl8
542,Srgap1
543,Cited2
544,Soga3
545,Gopc
546,Anapc16
547,Spock2
548,Hk1
549,2510003E04Rik
550,Gamt
551,Btbd2
552,Slc39a3
553,Atcay
554,Aes
555,Timp3
556,Ube2n
557,Lum
558,Mon2
559,Os9
560,Dtx3
561,Rnf41
562,Smarcc2
563,Myl6
564,Itga7
565,Rnf157
566,Adcy1
567,Slc1a4
568,Ccdc104
569,Kcnip1
570,Pank3
571,Rai1
572,Tom1l2
573,Rnf167
574,Rtn4rl1
575,Vps53
576,Pitpna
577,Fam222b
578,Sdf2
579,Bcas3
580,Usp32
581,Stat3
582,Pitpnc1
583,Ttyh2
584,Tnrc6c
585,Tbc1d16
586,Rbfox3
587,Gaa
588,Pisd-ps1
589,Ykt6
590,Zmiz2
591,Nacad
592,Cnrip1
593,Lgalsl
594,Bod1
595,Cpeb4
596,Nsg2
597,Ccng1
598,Ccnjl
599,Mapk9
600,Tbc1d9b
601,Mgat4b
602,Rmnd5b
603,Larp1
604,Natd1
605,Kcnj12
606,Epn2
607,Ulk2
608,Trpv2
609,Pirt
610,Ndel1
611,Mpdu1
612,Neurl4
613,Ankrd13b
614,Sarm1
615,Vtn
616,Mmd
617,Col1a1
618,Samd14
619,Ube2z
620,Hoxb6
621,Fbxl20
622,Mien1
623,Ormdl3
624,Mlx
625,Mpp3
626,Tmub2
627,Rundc3a
628,Grn
629,Gprc5c
630,Atp5h
631,Hid1
632,Gga3
633,Grb2
634,Acox1
635,Exoc7
636,Ube2o
637,Mxra7
638,Pcyt2
639,Rac3
640,Rfng
641,BC017643
642,Gphn
643,Nrxn3
644,Arel1
645,Atad2b
646,Prkar2b
647,Nrcam
648,Daam1
649,Rab15
650,Foxn3
651,Itpk1
652,Kif3c
653,Efr3b
654,Rhob
655,Lrrn3
656,Trappc6b
657,Atl1
658,Ppm1a
659,Six1
660,Churc1
661,Isca2
662,Fos
663,Vash1
664,Chga
665,D430019H16Rik
666,Rian
667,Cdc42bpb
668,Pacs2
669,Phactr1
670,Spock1
671,Hecw1
672,Amph
673,Elmo1
674,Sema4d
675,Agtpbp1
676,Ntrk2
677,Dapk1
678,Ube2ql1
679,Scamp1
680,Mocs2
681,Akr1e1
682,Klf6
683,Pfkp
684,BC005537
685,Nrsn1
686,Nrn1
687,Tbc1d7
688,Wnk2
689,Caml
690,Txndc15
691,Mblac2
692,Enc1
693,Serf1
694,Cadps
695,Ube2e2
696,Erc2
697,Peli2
698,Atp8a2
699,Dgkh
700,Zswim8
701,Mapk8
702,Cdhr1
703,Ddhd1
704,Mtmr6
705,Ebf2
706,Bmp1
707,Gfra2
708,Rb1
709,Rgcc
710,Mbnl2
711,Tmtc4
712,Ppp3cb
713,Camk2g
714,Ercc6
715,Tmem55b
716,Ndrg2
717,Rab2b
718,Slc22a17
719,Dhrs1
720,Mtmr9
721,Stmn4
722,Pcdh17
723,Cntn1
724,Sema5a
725,Ctnnd2
726,Vps13b
727,Rims2
728,Emc2
729,Mroh1
730,Ttll1
731,1810041L15Rik
732,Parvb
733,Kif21a
734,Map3k12
735,Cthrc1
736,Lrp12
737,Tmem65
738,Peg13
739,Plec
740,Cyhr1
741,Mgat3
742,Pmm1
743,Csdc2
744,Smdt1
745,Sult4a1
746,Ldoc1l
747,5031439G07Rik
748,Cerk
749,Mapk11
750,Mapk8ip2
751,Pfkm
752,Asb8
753,Asic1
754,Letmd1
755,Csrnp2
756,Prr13
757,Bdh1
758,Alcam
759,Abat
760,Clec16a
761,Zc3h7a
762,2900011O08Rik
763,Pi4ka
764,Etv5
765,St6gal1
766,Fbxo45
767,Kalrn
768,Synj1
769,Ubn1
770,Rogdi
771,Ntan1
772,Tango2
773,Comt
774,Sept5
775,Abcc5
776,Ap2m1
777,Dvl3
778,Vwa5b2
779,Tmem41a
780,Sst
781,0610012G03Rik
782,Dirc2
783,Gpr156
784,Cd200
785,Abhd10
786,Cd47
787,Ifngr2
788,Tmem50b
789,Cbr1
790,Pdpk1
791,Rnf5
792,Ankrd12
793,Nrxn1
794,Tulp4
795,Pde10a
796,Agpat4
797,Lix1
798,Abca3
799,Cacna1h
800,Fbxl16
801,D17Wsu92e
802,Zfand3
803,Mdga1
804,Pknox1
805,Rcan2
806,Zfp318
807,Kdm4b
808,Fez2
809,Sos1
810,Prepl
811,Prkce
812,Zfp948
813,Hcfc1r1
814,9530082P21Rik
815,Pkd1
816,Syngr3
817,Gnptg
818,Arhgdig
819,Dusp1
820,Nudt3
821,BC004004
822,Akap8l
823,Zfp811
824,Rab11b
825,Agpat1
826,Abhd16a
827,Bag6
828,Flot1
829,Zfp57
830,Tmem63b
831,Yipf3
832,Mea1
833,Tbcc
834,Rab5a
835,Ubxn6
836,Fsd1
837,Mpnd
838,Ralbp1
839,Mtcl1
840,Ypel5
841,Lbh
842,Dhx57
843,Ppm1b
844,Gnal
845,Nedd4l
846,Wdr7
847,Osbpl1a
848,Asxl3
849,Epb4.1l4a
850,Ube2d2a
851,Jakmip2
852,Mcc
853,Sema6a
854,Spire1
855,Syt4
856,Bin1
857,Gfra3
858,Reep2
859,Egr1
860,Dnajc18
861,Apbb3
862,Trim36
863,Cdo1
864,Acaa2
865,Pqlc1
866,Atrnl1
867,Tle4
868,Prune2
869,Ostf1
870,Pdlim1
871,Btrc
872,Ablim1
873,Ctsf
874,Cnih2
875,Tm7sf2
876,Syvn1
877,Ppp2r5b
878,Prdx5
879,2700081O15Rik
880,Bscl2
881,Vps37c
882,Mms19
883,Morn4
884,Zfyve27
885,Sfxn3
886,Ldb1
887,Pdcd4
888,Bbip1
889,Slc18a2
