,0
0,ERCC-00095
1,ERCC-00060
2,ERCC-00076
3,ERCC-00022
4,ERCC-00112
5,Khdrbs2
6,Lonrf2
7,Pgap1
8,Plcl1
9,Pard3b
10,Dock10
11,Sh3bp4
12,Pask
13,Rab3gap1
14,Cdc73
15,Brinp2
16,1700025G04Rik
17,Rasal2
18,Rabgap1l
19,Rgs7
20,Smyd3
21,Ptpn14
22,Rps6kc1
23,Tgfb2
24,St18
25,Prex2
26,Sulf1
27,Eya1
28,Stau2
29,Mitd1
30,Nck2
31,Gulp1
32,Mfsd6
33,Pms1
34,Hecw2
35,Ankrd44
36,Rftn2
37,9430016H08Rik
38,Spats2l
39,Tmem237
40,Stradb
41,Nbeal1
42,Adam23
43,Klf7
44,Plekhm3
45,Pikfyve
46,Atic
47,Tns1
48,Pnkd
49,Zfp142
50,Sgpp2
51,Rhbdd1
52,Armc9
53,Lrrfip1
54,Col6a3
55,Hdac4
56,Thap4
57,D1Ertd622e
58,Pam
59,Pign
60,Phlpp1
61,Bcl2
62,Gli2
63,Ptpn4
64,Ccdc93
65,Slc35f5
66,Nckap5
67,Zranb3
68,Srgap2
69,Dennd1b
70,Nek7
71,Hmcn1
72,Edem3
73,Swt1
74,Fam163a
75,Acbd6
76,Rfwd2
77,Dnm3
78,Nme7
79,Dcaf6
80,Mgst3
81,Atf6
82,Olfml2b
83,F11r
84,Fmn2
85,Sdccag8
86,Disp1
87,Susd4
88,Gpatch2
89,Hhat
90,Kcnh1
91,Tcea1
92,Pcmtd1
93,Snhg6
94,Gdap1
95,Crispld1
96,Ogfrl1
97,1110058L19Rik
98,Ptp4a1
99,Rab23
100,Ccdc115
101,Cnnm3
102,Sema4c
103,Cnnm4
104,Rev1
105,Chst10
106,Cnot11
107,Pantr1
108,Tgfbrap1
109,Stat1
110,Tmem194b
111,Inpp1
112,Hibch
113,Osgepl1
114,Stk17b
115,Coq10b
116,Tyw5
117,1700066M21Rik
118,Kctd18
119,Fam126b
120,Trak2
121,Als2
122,Ino80d
123,Mettl21a
124,Kansl1l
125,Pecr
126,Tmem169
127,Ctdsp1
128,Bcs1l
129,Stk36
130,Rnf25
131,Ttll4
132,Zfand2b
133,Ankzf1
134,Atg9a
135,Ptprn
136,Resp18
137,Dnajb2
138,Speg
139,Gmppa
140,Chpf
141,Slc4a3
142,Utp14b
143,Arl4c
144,Asb1
145,Traf3ip1
146,Capn10
147,Mterfd2
148,Bok
149,Ing5
150,Fam174a
151,Zcchc2
152,Kdsr
153,Dsel
154,Tmem185b
155,Tmem177
156,Insig2
157,Ddx18
158,Pfkfb2
159,Dyrk3
160,Slc41a1
161,Slc45a3
162,Nuak2
163,Dstyk
164,Mdm4
165,Pik3c2b
166,Sox13
167,Zbed6
168,Atp2b4
169,Fmod
170,Ube2t
171,Shisa4
172,5730559C18Rik
173,Ddx59
174,Kif14
175,Zbtb41
176,Glrx2
177,Rgs2
178,BC003331
179,Tsen15
180,Rgs16
181,Rgs8
182,Rnasel
183,Glul
184,Ier5
185,Qsox1
186,Tor1aip1
187,Soat1
188,Cenpl
189,Klhl20
190,Dnm3os
191,Vamp4
192,Mettl13
193,Gorab
194,Scyl3
195,Ccdc181
196,Slc19a2
197,Blzf1
198,Atp1b1
199,Sft2d2
200,Mpc2
201,Creg1
202,Ildr2
