,0
0,Sntg1
1,Erbb4
2,Abca12
3,Cdh7
4,Fcrla
5,Rp1
6,Slc9a2
7,9130227L01Rik
8,Ugt1a5
9,Ugt1a2
10,Trpm8
11,Mgat5
12,Ralgps2
13,Nos1ap
14,Cd48
15,Gm16432
16,Xkr9
17,Gm4956
18,4933415F23Rik
19,Mir6342
20,Prss39
21,Cnnm4
22,4933424G06Rik
23,Lyg2
24,Mir6349
25,Il18r1
26,Aox4
27,Cd28
28,Snora41
29,Mir6899
30,Ankar
31,Ap1s3
32,1700016L21Rik
33,Ccl20
34,C130026I21Rik
35,Gm7609
36,Sp100
37,Mir8096
38,Spata3
39,Gm19589
40,Prlh
41,Scly
42,Espnl
43,Mir6900
44,Olfr1410
45,Aqp12
46,Serpinb3b
47,Serpinb3c
48,Serpinb7
49,Serpinb2
50,Tmem177
51,Marco
52,Gm10538
53,Etnk2
54,Lax1
55,Chit1
56,Ascl5
57,Cfhr1
58,Rgs1
59,Mir7652
60,Apobec4
61,E330020D12Rik
62,Mir488
63,4930562F07Rik
64,Gpr52
65,4930558K02Rik
66,Myoc
67,Sell
68,Sele
69,Gpr161
70,Gpa33
71,Fmo9
72,1700084C01Rik
73,Sh2d1b1
74,Fcgr4
75,Ly9
76,Cd84
77,4933439K11Rik
78,Crp
79,Olfr16
80,Olfr1408
81,Olfr218
82,Pyhin1
83,Pydc4
84,AI607873
85,Mnda
86,Mndal
87,Ifi205
88,Ifi202b
89,Olfr421-ps1
90,Olfr420
91,Vmn1r1
92,Upp2
93,Slc1a2
94,4930547E08Rik
95,Exd1
96,Plcb1
97,Mrc1
98,Ak8
99,Pbx3
100,4930573O16Rik
101,Gm13944
102,4930440I19Rik
103,Gm14461
104,Ldlrad3
105,Elf5
106,Rnf24
107,Sel1l2
108,6820408C15Rik
109,Ctnnbl1
110,Vstm2l
111,Slc35c2
112,Cdh22
113,Gmeb2
114,Mir467b
115,Il15ra
116,4930515L03Rik
117,H2afb1
118,Il1f6
119,Il1f9
120,Il1rn
121,Entpd8
122,Noxa1
123,Lrrc26
124,Lcn10
125,Lcn9
126,Card9
127,Stkld1
128,Dbhos
129,Gm13547
130,Mir6998
131,Qrfp
132,Uck1
133,6330409D20Rik
134,Mir3960
135,Olfr338
136,Olfr340
137,Olfr365
138,Nr5a1
139,Tas2r134
140,Atf2
141,Zdhhc5
142,Mir130a
143,Prg3
144,Olfr995
145,Olfr1020
146,Olfr1036
147,Olfr1044
148,Olfr1039
149,Olfr1042
150,Olfr228
151,Olfr1061
152,Olfr1084
153,Olfr1090
154,Olfr1087
155,Olfr1102
156,Olfr1105
157,Pramel7
158,Olfr1124
159,Olfr1131
160,Olfr1138
161,Olfr152
162,Olfr1161
163,Olfr1164
164,Olfr1166
165,Olfr1176
166,Olfr1170
167,Olfr1183
168,Olfr1182
169,Olfr1184
170,Olfr1209
171,Olfr1214
172,Olfr1215
173,Olfr1219
174,Olfr1217
175,Olfr1229
176,Olfr1241
177,Olfr1251
178,Olfr1258
179,Olfr1260
180,Olfr1271
181,Spi1
182,Mir1955
183,Accsl
184,Rag2
185,A930006I01Rik
186,Gm14015
187,Lin7c
188,Olfr1275
189,Olfr1282
190,Olfr1290
191,Olfr1302
192,Olfr1313
193,A530058N18Rik
194,Phgr1
195,Chac1
196,Pla2g4b
197,Mir7665
198,Bambi-ps1
199,AA467197
200,4930583P06Rik
201,1810024B03Rik
202,Kcnip3
203,Il1a
204,Oxt
205,Mir103-2
206,4921508D12Rik
207,Scp2d1
208,A530006G24Rik
209,Cst12
210,Cst8
211,Cst10
212,Defb21
213,Bpifb3
214,Bpifa3
215,Bpifa5
216,Bpifa1
217,Trpc4ap
218,Mroh8
219,Ptprtos
220,Hnf4aos
221,Serinc3
222,0610039K10Rik
223,Kcnk15
224,Svs3b
225,Wfdc8
226,Eppin
227,Wfdc6b
228,Spint4
229,Mir1a-1
230,Ptk6
231,Srms
232,Abhd16b
233,Schip1
234,Tspan2
235,Dnajc5b
236,Il21
237,Ccrn4l
238,Gm6634
239,Kcnn3
240,Ctss
241,1700030L20Rik
242,Pdlim5
243,Clca5
244,1700008P02Rik
245,Fabp12
246,Gm6300
247,Slc7a12
248,Sirpb1b
249,Cpa3
250,Ghsr
251,Tnfsf10
252,Skil
253,Peril
254,Mir7009
255,1700017G19Rik
256,1700018B24Rik
257,Slc7a11
258,Gm2447
259,Sertm1
260,1700007F19Rik
261,P2ry13
262,Gm9696
263,Mir8120
264,Il12a
265,Gm1647
266,Npy2r
267,Lrat
268,1700028M03Rik
269,Fcrls
270,Ttc24
271,Mir7011
272,Arhgef2
273,Adam15
274,Il6ra
275,Pglyrp4
276,Sprr3
277,Lce6a
278,Lce1c
279,Lce3c
280,Crct1
281,Lce3f
282,Gm4858
283,Tdpoz2
284,Tdpoz4
285,Mrpl9
286,Tnfaip8l2
287,Fcgr1
288,Olfr1402
289,4930406D18Rik
290,Cd53
291,Eps8l3
292,1700061I17Rik
293,Ptbp2
294,Gclm
295,4933405D12Rik
296,Lrit3
297,Adh4
298,Rpe65
299,Slc1a7
300,Skint6
301,Sdr16c6
302,Dpy19l4
303,Slc26a7
304,B020004J07Rik
305,Dab1
306,Skint8
307,Cyp4a32
308,Wdr65
309,Kcnq4
310,Slc30a2
