,0
0,1700066B17Rik
1,Pard3b
2,Pinc
3,Dpp10
4,Mapkapk2
5,Cnih3
6,Ush2a
7,A330023F24Rik
8,Adhfe1
9,Jph1
10,Defb44-ps
11,Col19a1
12,4930594C11Rik
13,Mgat4a
14,Tbc1d8
15,9330175M20Rik
16,Boll
17,Mdh1b
18,Ikzf2
19,March4
20,Nyap2
21,Col4a3
22,Armc9
23,Efhd1
24,Ugt1a6b
25,Ugt1a6a
26,Farp2
27,Slco6c1
28,Slco6b1
29,Pam
30,B230216N24Rik
31,Lrrn2
32,Atp6v1g3
33,Cfh
34,2310030A07Rik
35,Fam129a
36,Rgl1
37,Lamc1
38,Tbx19
39,Mgst3
40,Olfml2b
41,Kcnj10
42,Mptx2
43,Traf3ip3
44,Oprk1
45,Mcmdc2
46,Prdm14
47,Msc
48,Crisp4
49,Khdc1c
50,Mir30a
51,1700001G17Rik
52,Arid5a
53,Zap70
54,Lyg1
55,Il18rap
56,1500015O10Rik
57,1700019A02Rik
58,Hsfy2
59,Cdk15
60,Snord11
61,Dytn
62,Igfbp5
63,Rufy4
64,Cxcr2
65,Cxcr1
66,Plcd4
67,A530032D15Rik
68,Alppl2
69,Alpi
70,Mroh2a
71,Ugt1a1
72,2410088K16Rik
73,Hes6
74,Traf3ip1
75,Olfr12
76,Otos
77,Ankmy1
78,1700063A18Rik
79,1810006J02Rik
80,Serpinb3d
81,Serpinb3a
82,Cdh19
83,Dbi
84,C4bp
85,Il20
86,5430435G22Rik
87,Optc
88,Prelp
89,Btg2
90,4931440L10Rik
91,Gpr37l1
92,Pkp1
93,Mir181b-1
94,F13b
95,B3galt2
96,5830403L16Rik
97,Teddm1
98,Ier5
99,Tdrd5
100,Scarna3a
101,Ankrd45
102,Fasl
103,7420461P10Rik
104,Fmo1
105,Fmo2
106,Gm16548
107,Gm20743
108,Mael
109,Rxrg
110,Mir6348
111,Sh2d1b2
112,Mpz
113,Tomm40l
114,Slamf7
115,Slamf1
116,Slamf6
117,Pea15a
118,Igsf8
119,Kcnj9
120,Atp1a2
121,Olfr418-ps1
122,Olfr1406
123,Ifi204
124,Olfr433
125,Olfr231
126,Olfr419
127,Olfr248
128,Mir194-1
129,Gm2061
130,9630028B13Rik
131,Mfsd7b
132,Rd3
133,Slc30a1
134,Camk1g
135,Mir205
136,Dab2ip
137,Zeb2
138,Arhgap15
139,Kcnj3
140,Lrrc4c
141,Tspan18
142,Mir1954
143,Siglec1
144,Ptprt
145,Eya2
146,Dnajc1
147,4921504E06Rik
148,Fam163b
149,Notch1
150,1700001O22Rik
151,Pomt1
152,Gm13497
153,Cobll1
154,Xirp2
155,Abcb11
156,Itga6
157,Pde11a
158,Ptprj
159,Cd82
160,Gm10804
161,Cd44
162,Cd59b
163,Slc5a12
164,Olfr1300-ps1
165,Ryr3
166,Gpr176
167,4930412B13Rik
168,Tyro3
169,Shc4
170,Itpripl1
171,AU019990
172,Jag1
173,Btbd3
174,Banf2
175,Pcsk2os2
176,Angpt4
177,Rad21l
178,2010009K17Rik
179,Kcnb1
180,Tubb1
181,Cdh4
182,Olah
183,Dclre1c
184,Itih2
185,Mir669i
186,A930004D18Rik
187,Otud1
188,4931423N10Rik
189,Tbpl2
190,Tmem210
191,Nrarp
192,Entpd2
193,Uap1l1
194,Mir3087
195,Lcn12
196,Obp2a
197,Lcn3
198,Sohlh1
199,4932418E24Rik
200,Mir6996
201,Abo
202,Adamtsl2
203,Sardh
204,Mir7578
205,Ppp1r26
206,Sh3glb2
207,Mir3089
208,Asb6
209,Ass1
210,Prdm12
211,Ppapdc3
212,Ptges2
213,Fam102a
214,Mir2861
215,Ptrh1
216,Traf1
217,4930568D16Rik
218,Olfr50
219,Olfr351
220,Olfr352
221,Olfr354
222,Olfr360
223,Olfr361
224,Olfr366
225,Snord90
226,Olfml2a
227,Zeb2os
228,1700019E08Rik
229,Cytip
230,Gcg
231,Slc38a11
232,Gm1322
233,Mir6335
234,Dhrs9
235,Gm1631
236,6430710C18Rik
237,4930441J16Rik
238,9430019J16Rik
239,Neurod1
240,Ssfa2
241,Gm13752
242,4833423E24Rik
243,Olfr154
244,Olfr1000
245,Olfr1009
246,Olfr1019
247,Olfr1016
248,Olfr1013
249,Olfr1034
250,Olfr1047
251,Olfr1052
252,Olfr1080
253,Olfr1089
254,Olfr1097
255,Olfr1095
256,Pramel6
257,Olfr1126
258,Olfr1129
259,Olfr1154
260,Olfr1148
261,Olfr1168
262,Olfr1173
263,Olfr1180
264,Olfr1179
265,Olfr1186
266,Olfr1195
267,Olfr1199
268,Olfr1205
269,Olfr1206
270,Olfr1213
271,Olfr1216
272,Olfr1223
273,Olfr1233
274,Olfr1238
275,Olfr1245
276,Olfr1270
277,Olfr1274-ps
278,Nr1h3
279,Dgkz
280,Mir6999
281,Mir7000
282,4631405J19Rik
283,Gm13807
284,4921507L20Rik
285,Kcna4
286,4930430A15Rik
287,Olfr1303
288,Olfr1310
289,Olfr1308
290,Olfr1311
291,Olfr1318
292,Nutm1
293,Chrm5
294,Tmco5b
295,D330050G23Rik
296,1700054M17Rik
297,Bmf
298,Plcb2
299,Ankrd63
300,A430105I19Rik
301,Duoxa1
302,Duoxa2
303,Spata5l1
304,Ctxn2
305,AI847159
306,Avp
307,Smox
308,Insm1
309,Cst11
310,Acss1
311,E130215H24Rik
312,Slc52a3
313,Fam110a
314,Nrsn2
315,Rbck1
316,Defb28
317,Defb23
318,Defb22
319,Defb29
320,Foxs1
321,Xkr7
322,Kif3b
323,Bpifb1
324,Cdk5rap1
325,Necab3
326,2310005A03Rik
327,Mir695
328,Fer1l4
329,Lbp
330,Mir3474
331,Actr5
332,4933416E03Rik
333,L3mbtl1
334,R3hdml
335,Wisp2
336,Wfdc12
337,Wfdc5
