,0
0,Bai3
1,Pld5
2,Cpa6
3,Khdrbs2
4,Lonrf2
5,Actr1b
6,Dnah7a
7,Pgap1
8,Plcl1
9,Dock10
10,Dis3l2
11,Clasp1
12,Thsd7b
13,Rab3gap1
14,Rnpep
15,Camsap2
16,Nmnat2
17,Rasal2
18,Rgs7
19,Akt3
20,Rps6kc1
21,Xkr4
22,Rgs20
23,Atp6v1h
24,Arfgef1
25,Cspp1
26,Ncoa2
27,Slco5a1
28,Kcnb2
29,Stau2
30,Kcnq5
31,Rims1
32,Rims1.1
33,Dst
34,Plekhb2
35,Uggt1
36,Lman2l
37,Inpp4a
38,Map4k4
39,Ercc5
40,Tmeff2
41,Gls
42,Mfsd6
43,Aox1
44,Nbeal1
45,Ica1l
46,Raph1
47,Adam23
48,Klf7
49,Plekhm3
50,Pikfyve
51,Acadl
52,Map2
53,Unc80
54,Vwc2l
55,Dner
56,Agap1
57,Hdac4
58,Kif1a
59,D2hgdh
60,D1Ertd622e
61,Sctr
62,Ccnt2
63,Tmem163
64,R3hdm1
65,C4bp-ps1
66,Rassf5
67,Nfasc
68,Tmcc2
69,Cntn2
70,Plekha6
71,Lgr6
72,Syt2
73,Nav1
74,Dennd1b
75,Gm4788
76,Cacna1e
77,Xpr1
78,Astn1
79,Rfwd2
80,Pappa2
81,Dnm3
82,Kifap3
83,Dcaf6
84,Gm16701
85,Ifi203
86,Fmn2
87,Sdccag8
88,Cdc42bpa
89,Cnst
90,Ephx1
91,Enah
92,Capn8
93,Susd4
94,Mark1
95,Rab3gap2
96,Bpnt1
97,Vash2
98,Kcnh1
99,Rb1cc1
100,Gdap1
101,Tmem14a
102,Gsta3
103,Ogfrl1
104,B3gat2
105,Fam135a
106,Lmbrd1
107,Gm20172
108,Ptp4a1
109,Gm5415
110,Gm9839
111,Bend6
112,Mir6896
113,Amer3
114,AA619741
115,Arhgef4
116,Hs6st1
117,Tsga10
118,Chst10
119,Gm16894
120,Mfsd9
121,Tgfbrap1
122,Bivm
123,Stat1
124,Inpp1
125,Trak2
126,Mpp4
127,Fam117b
128,Cyp20a1
129,Idh1
130,Lancl1
131,Mreg
132,Tmem169
133,Cdk5r2
134,Zfand2b
135,Ankzf1
136,Fam134a
137,Cnppd1
138,Atg9a
139,Dnpep
140,Ptprn
141,Resp18
142,Dnajb2
143,Chpf
144,Tmem198
145,Slc4a3
146,Inha
147,Scg2
148,Wdfy1
149,Mff
150,Agfg1
151,Cab39
152,Nmur1
153,Arl4c
154,Per2
155,Asb1
156,Gpc1
157,Rnpepl1
158,Dusp28
