,0
0,Cdc42ep2
1,Syt5
2,Fam163b
3,Cacna2d2
4,Padi2
5,Gpr176
6,Lgals9
7,Nrsn2
8,Kcna2
9,Atp2b3
10,Necab2
11,Ctnnd2
12,Jph4
13,Prune2
14,Cadm4
15,Ptprt
16,4930506M07Rik
17,Rph3a
18,Itih2
19,Krt24
20,Rgs7bp
21,Foxo6
22,Cyp2u1
23,Ace
24,Mt3
25,Grm3
26,4732471J01Rik
27,Kctd8
28,Cbln2
29,Hist3h2ba
30,Zdhhc14
31,Dusp26
32,Gramd1b
33,Kcnb1
34,Rnf112
35,Adamtsl2
36,Rap1gap
37,Lrfn1
38,Adprhl1
39,Sfrp4
40,Caly
41,Prph
42,Zbtb7c
43,Nrbp2
44,Gpr64
45,Syt9
46,Pirt
47,Slc1a4
48,Rgs11
49,Lrrc55
50,Kifc3
51,Igsf21
52,Ccdc149
53,Cntnap2
54,Kcnu1
55,Tub
56,Gfod1
57,Klc3
58,Ccdc181
59,Chd5
60,Atp1a3
61,Adap1
62,Htr5a
63,Serpina3g
64,Fgd3
65,Eml6
66,Faim2
67,Ttc9
68,Asic3
69,Mmd2
70,Ppef1
71,Chia1
72,Dok4
73,Pcdh15
74,Popdc3
75,Ttyh2
76,Sh3glb2
77,Bcl7a
78,Oprk1
79,Ranbp3l
80,Cfh
81,Sprn
82,9430021M05Rik
83,Frmpd4
84,Cntn4
85,Tmem229a
86,Adra2c
87,AI414108
88,Trnp1
89,Csmd1
90,Krt222
91,Sh2d5
92,Ssfa2
93,Kcnk3
94,Ppp1r14c
95,Nyap1
96,Ankrd24
97,Mchr1
98,Shpk
99,Pcnxl2
100,Izumo4
101,Spink5
102,Hs3st4
103,Sybu
104,Psd
105,Vamp1
106,Pcp4
107,Mgll
108,Slc35e4
109,Mamld1
110,Arhgap26
111,Rho
112,2510039O18Rik
113,Map7
114,C1galt1
115,Fam107a
116,Myt1l
117,Hspb8
118,Avil
119,Ddit4
120,Schip1.3
121,Shc4
122,Hcn1
123,Zfp651
124,Gm10364
125,Tunar
126,Rell2
127,Dzank1
128,Ube2ql1
129,Lrrc8d
130,Tesc
131,Scn7a
132,Ahr
133,Srebf1
134,Npy1r
135,Stx11
136,Gm996
137,Lrrc8b
138,Zfp513
139,Arhgdig
140,Flot1
141,Tbc1d8
142,Cdk20
143,Tmem200c
144,Cdh12
145,Mdga1
146,Gabra5
147,Lhfpl1
148,Ramp3
149,Nhlrc1
150,Panx2
151,Prima1
152,Pcdha7
153,Arhgef6
154,Mag
155,Kcnh6
156,Capn1
157,Kcnab2
158,Tmem63c
159,Galnt14
160,Otud1
161,Aatk
162,Slc36a1
163,Lgals7
164,Cmpk2
165,Atp1a2
166,Enc1
167,Id4
168,Abcg4
169,Hdac4
170,Cubn
171,Cdhr1
172,Cpne4
173,Pura
174,Ostm1
175,Gpr126
176,Rhbdl1
177,Fam19a4
178,Scn10a
179,Tmem117
180,Gpm6b
181,5730409E04Rik
182,Rasd2
183,Gm6537
184,Cgref1
185,Pomgnt2
186,Inpp5j
187,Faah
188,Fhad1
189,Fam134b
190,Stac
191,Fntb
192,Dpp10
193,Snph
194,Pdzd4
195,Pitpnm2
196,Slc4a4
197,Slc7a4
198,Klhl5
199,Tbc1d9
200,Nkain4
201,9430041J12Rik
202,Lingo2
203,Th
204,Rassf5
205,Plcd4
206,Ppapdc3
207,Manbal
208,Fam198a
209,Nkain2
210,Pnck
211,Lrrtm1
212,Iqch
213,Fxyd7
214,Dos
215,Abca8b
216,Zbtb7a
217,Ppp1r18
218,Nalcn
219,Calr4
220,Syt4
221,Pld5
222,Dock5
223,Slc22a17
224,Neurod2
225,Hoxa7
226,H2afj
227,Coq10a
228,Ttyh1
229,Rd3
230,Rgs17
231,Fbp1
232,Piezo2
233,Dmtn
234,Ndrg2
235,Mbp
236,Mtss1l
237,Ankrd40
238,Ica1l
239,Neurl1b
240,Chadl
241,Cplx1
242,Nhlh1
243,Egr3
244,Mab21l3
245,Gm20597
246,Fam134a
247,Abhd16a
248,Zdhhc22
249,Jakmip1
250,Btbd3
251,Sept4
252,Atxn2
253,Lsm14b
254,Lrrn2
255,Dock3
256,Cxcl16
257,AW011738
258,Ppp1r14a
259,Lair1
260,Akt1s1
261,6530411M01Rik
262,Rit2
263,2310003H01Rik
264,Kif19a
265,Trpv1
266,Tmem229b
267,Rasa4
268,Arid5a
269,Rpia
270,Paip2b
271,F2rl2
272,Galr2
273,Tpcn1
274,Slc35a2
275,Oxnad1
276,Trim8
277,Hrk
278,Rassf10
279,Rgcc
280,Fabp7
281,N28178
282,Zfp663
283,Chga
284,Ccdc13
285,Cdr2l
286,Farp2
287,Abca1
288,Prss12
289,Hey1
290,Prrxl1
291,Itsn2
292,Pde2a
293,Acss1
294,Klhdc8a
295,Esrra
296,Pex6
297,2610035D17Rik
298,Lama4
299,Sema3b
300,Cadm2
301,Lrrc75b
302,Epha6
303,Gm11549
304,Iglon5
305,Capn5
306,Lmo1
307,Zbtb20
308,B3gat1
309,Nxpe3
310,Syt17
311,Gfra3
312,Lcp2
313,Ppp1r37
314,Cnih3
315,Efhd2
316,Gpr119
317,Fmo2
318,Col22a1
319,Adam10
320,Grasp
321,Fam43b
322,Slc16a2
323,Gjb6
324,A330009N23Rik
325,Gm10046
326,Cd82
327,Slc27a1
328,Sema3c
329,Crip2
330,C030037D09Rik
331,P2rx2
332,Ndrg1
333,Cd44
334,Plekhm2
335,Ythdc2
336,Pcdhb5
337,B230216N24Rik
338,Abhd3
339,Lrrc7
340,Gda
341,Ppp3cc
342,Optc
343,9630013A20Rik
344,Smim18
345,Col28a1
346,2900052N01Rik
347,Marf1
348,Fam189a1
349,Tdrd9
350,Vps37b
351,Gal
352,Islr2
353,Tmem121
354,Bst2
355,Csf2ra
356,Zfp398
357,Dscaml1
358,Prelp
359,Fan1
360,Rlbp1
361,Tmprss5
362,Luzp2
363,1600029O15Rik
364,Ptgir
365,Hs3st2
366,Entpd2
367,Tbc1d2
368,Stard13
369,Otogl
370,Tbc1d10a
371,Adamts15
372,Tex40
373,Atp1b1
374,Lrrc4c
375,Slc35a5
376,Rxrg
377,Adcy5
378,Mpz
379,Zdhhc21
380,Insrr
381,Mrvi1
382,Elovl7
383,Matn2
384,Gper1
385,Il25
386,A330023F24Rik
387,Ednrb
388,Slc15a2
389,Kirrel3
390,Apmap
391,Fam212b
392,Mid2
393,Plcb3
394,Lipe
395,Flrt1
396,Itgb3
397,Sgms2
398,Map3k5
399,Chchd10
400,Olfml2b
401,Slc22a3
402,Rbfox1
403,Fbxl15
404,Pcolce2
405,Zfp536
406,Cyp2j9
407,Ptprq
408,Galnt2
409,Sgsm3
410,Kcnip2
411,Sfrp5
412,Gldn
413,Eepd1
414,Traf3ip1
415,Car5b
416,Entpd1
417,Adamts17
418,Rnf125
419,Cdh4
420,Lrrc47
421,Cmtm5
422,Neat1
423,Smpd5
424,Pnpla6
425,Synj2
426,Mgst3
427,Chst3
428,Afap1l2
429,Fxyd1
430,Car11
431,Htr3a
432,P2ry2
433,Slc45a4
434,Rnd2
435,Ptpre
436,Mgat4a
437,Lifr
438,Kcna4
439,Kif3b
440,Ispd
441,Aldh2
442,Gnb3
443,Aqp1
444,Cntfr
445,Ttc12
446,Dab2ip
447,Sfxn5
448,Ncam2
449,BC024978
450,Aqp4
451,Tmem143
452,Arhgef10
453,5930403L14Rik
454,Gng8
455,Prdm12
456,A730090N16Rik
457,Ppp1r12c
458,Nlgn3
459,Gjb2
460,Slitrk2
461,Dgkz
462,Lpcat2
463,Mcam
464,Fdxr
465,Il1rapl1
466,Pld2
467,Atg4a
468,Pepd
469,Pmepa1
470,Acsf3
471,Slc24a2
472,Atp10b
473,Reps1
474,Sstr2
475,Myo18a
476,Xkr7
477,Ptprj
478,Pacrg
479,Adam4
480,Insm1
481,Timp3
482,Dgkb
483,Klf5
484,Fam89a
485,Ptprz1
486,Neurod6
487,Col4a2
488,Scara5
489,Astn2
490,Tmem132b
491,Runx1
492,Bves
493,Dmrta1
494,Uap1l1
495,Sema4b
496,Trak2
497,Dcbld1
498,Necab1
499,E130114P18Rik
500,Fam173a
501,Gpr56
502,Vit
503,Ccnl1
504,Itpripl1
505,Pde4b
506,Klf16
507,Abhd4
508,Mlx
509,Gucy1b3
510,Neurod1
511,Ntrk1
512,Mul1
513,Tspan14
514,Otud5
515,Galnt9
516,Angptl6
517,Stox1
518,Hoxc8
519,Bnc1
520,C1qtnf2
521,Mafg
522,Stk40
523,Arhgef28
524,Gsg1l
525,Slco4a1
526,Edem2
527,Art3
528,Col4a3
529,Rgl1
530,Cobll1
531,Mfsd7b
532,Spp1
533,Selo
534,Col4a1
535,Vapb
536,Fbxw4
537,Acot1
538,March4
539,Kif9
540,Uhrf1bp1l
541,Pygb
542,Fmo1
543,Egfl8
544,Entpd5
545,Adck4
546,Pi4k2a
547,Swsap1
548,Tph1
549,1700106J16Rik
550,Camk2b
551,P2ry14
552,Bche
553,Sart1
554,Upf1
555,Nrarp
556,Bloc1s3
557,Rfx1
558,Ptgfrn
559,Chid1
560,Pard3b
561,Pgap1
562,Smox
563,Igsf8
564,Otub1
565,Lamb1
566,Trmu
567,Efhd1
568,Sardh
569,Dak
570,Snrk
571,Col19a1
572,Gpt
573,A630066F11Rik
574,Dnaic2
575,Dcn
576,Ier5
577,Necab3
578,Dmd
579,Pptc7
580,Fbxo7
581,Morn1
582,Tob2
583,Amdhd2
584,Rin3
585,Cntnap4
586,Ubl4
587,Inf2
588,Mamstr
589,Gas6
590,Ddrgk1
591,Iffo2
592,Serping1
593,B3galt2
594,Rhbdf1
595,Pdzk1ip1
596,Csf1
597,Aup1
598,Rbfa
599,Dhx58
600,Lrrc9
601,Asap3
602,Glb1l2
603,Narfl
604,Clic1
605,Wwtr1
606,Kit
607,Prx
608,Dalrd3
609,Phlda1
610,Igfbp5
611,Ephx2
612,Tomm40l
613,Lnx2
614,Pan3
615,Postn
616,Cdh18
617,Lrrc14
618,Sema3g
619,Adssl1
620,Pomt1
621,Tpcn2
622,Pla2g7
623,Prdm16
624,Acrbp
625,Nudt13
626,Hmgcs2
627,Fam20a
628,Armcx4
629,Nfia
630,Prkcsh
631,Fam219b
632,Wipi1
633,A930004D18Rik
634,Il33
635,Rasgrp2
636,ERCC-00003
637,ERCC-00165
638,ERCC-00113
639,ERCC-00042
640,ERCC-00074
641,ERCC-00019
642,ERCC-00162
643,ERCC-00002
644,Zfp619
645,Stim1
646,Lmf1
647,ERCC-00004
648,Zbtb38
649,ERCC-00126
650,Prss35
651,ERCC-00085
652,Tnfrsf12a
653,ERCC-00116
654,ERCC-00143
655,Fbxo6
656,ERCC-00035
657,ERCC-00059
658,Tatdn3
659,ERCC-00099
660,Pvr
661,Klf9
662,Trim11
663,Prokr1
664,Elovl1
665,Mical1
666,ERCC-00025
667,Siae
668,9530068E07Rik
669,Hey2
670,Hnrnpul1
671,Arhgap24
672,Ryr3
673,Cited2
674,1810014B01Rik
675,Hes6
676,Slc25a10
677,ERCC-00154
678,Jag1
679,Nfkbiz
680,Hist1h2ag
681,Fam129a
682,Dnajc1
683,Gulp1
684,Terf2
685,ERCC-00039
686,Zfp36l2
687,Fastk
688,Manba
689,Prr3
690,Sgk3
691,Gadd45g
692,0610040J01Rik
693,Puf60
694,Plekhg1
695,Slc25a28
696,Megf9
697,Rxfp3
698,Fam35a
699,Caskin2
700,Hist1h3c
701,I730030J21Rik
702,Cspg5
703,Pkn1
704,Plp1
705,Tst
706,Pld1
707,Apold1
708,Slmap
709,Gsdmd
710,Stxbp3b
711,Armc7
712,Npr3
713,Adamts5
714,Oxa1l
715,Marveld2
716,Aldoc
717,AI450353
718,Spata6
719,D10Jhu81e
720,Pgf
721,Sepp1
722,Klf15
723,Zfp865
724,Foxd2os
725,Lpar3
726,Zdhhc18
727,Loxl1
728,Tle2
729,Ceacam1
730,Mkrn3
731,Irs2
732,Trp53i13
733,Evi5
734,Foxd3
735,Cd9
736,Akr7a5
737,Unc5a
738,Ddn
739,Masp1
740,Nedd9
741,Asrgl1
742,Lamc1
743,Cct8
744,Pde3a
745,Itga3
746,Gm5141
747,Zic5
748,Rnft1
749,Rph3al
750,Mipol1
751,Rspo1
752,Ptrh1
753,Tmem129
754,Prdx6
755,Lyar
756,Sppl2b
757,Mak16
758,Zfp455
759,Nudc
760,Scube2
761,Orc2
762,Cast
763,Wnt1
764,Fam181b
765,Mb21d2
766,Med12l
767,Gpr171
768,Lztfl1
769,Eif4ebp1
770,Hk3
771,Rsl1d1
772,Isyna1
773,Lims1
774,Zfyve9
775,Ruvbl2
776,Map3k14
777,Calr3
778,Snord104
779,Foxo1
780,Itgb8
781,Nod1
782,Fam120a
783,Gbx2
784,Kirrel2
785,Gpam
786,Rab10os
787,2610035F20Rik
788,2810468N07Rik
789,Slc17a5
790,Fzd10
791,Mettl7a1
792,Cwf19l1
793,Pou3f2
794,Cpne5
795,Hars2
796,Prdm13
797,Wnt3
798,Lfng
799,Msi2
800,Ctnnal1
801,Mettl14
802,Lrp2
803,Usp2
804,Arfip1
805,Ebna1bp2
806,Fam81a
807,Actn1
808,Ccdc43
809,9530077C05Rik
810,Mknk1
811,Neurog2
812,Gdpd2
813,Mamdc2
814,Etf1
815,Hes3
816,Smtnl2
817,Ildr2
818,Uck2
819,Gsr
820,Zeb2
821,Afmid
822,Dbi
823,Deptor
824,Prmt8
825,Gldc
826,Pbxip1
827,Tyro3
828,Pantr1
829,Eif2s3y
830,Tmem109
831,Rae1
832,Ankrd45
833,Cct4
834,Itpr3
835,Actr5
836,Mfng
837,Elovl2
838,Lmo4
839,Ints4
840,Nr2f6
841,Klhl15
842,Pea15a
843,Prdm8
844,Ascl1
845,Ust
846,Baiap2
847,Neurog1
848,Ddr1
849,Nampt
850,Cry1
851,Zfp191
852,Tmem47
853,Tmed9
854,Rdh12
855,Mef2c
856,Antxr2
857,Zhx2
858,Gpn2
859,Rad52
860,Ppp4r4
861,Btbd19
862,AK129341
863,Otud6b
864,Nxt2
865,5430417L22Rik
866,2210408I21Rik
867,Tmem161a
868,Tfap2c
869,Megf10
870,Spred1
871,Pxn
872,Crtap
873,Thap3
874,Hoxa9
875,Shroom2
876,Notch1
877,Rell1
878,Fzd9
879,Zfp493
880,Kbtbd11
881,Pax3
882,1810043G02Rik
883,Pir
884,Gatsl3
885,Snora65
886,Mettl15
887,Cbs
888,Hes5
889,Sox10
890,Mgat1
891,A830082K12Rik
892,Efs
893,Cdk5rap1
894,Ppp1cc
895,Aldh3a2
896,Hist2h2ac
897,Oxsm
898,Pycr2
899,Ikzf2
900,Mapkapk2
901,Mtdh
902,Slain1
903,Rcc2
904,Gas2l3
905,Uevld
906,Mpped1
907,Mycn
908,Wasf3
909,Cdc42ep1
910,Gpr157
911,Gnpda1
912,Ppp1r13l
913,Spint2
914,Xist
915,Slmo1
916,Fut8
917,Sgk1
