,0
0,Eci2
1,B3galt4
2,Pttg1ip
3,St6galnac6
4,Atxn1
5,Dcaf10
6,Camkmt
7,Rab33b
8,Pfn2
9,Asah1
10,Ntan1
11,Hdgfrp3
12,Abca5
13,Mbd2
14,Rab11b
15,Strn3
16,Tspyl3
17,Ngly1
18,Zfp945
19,Fbxo4
20,Zfp467
21,1110017D15Rik
22,Zmynd11
23,Pddc1
24,Serf2
25,Snx16
26,Maf
27,Zfp9
28,Maf1
29,Tmem59
30,Txndc15
31,Tsc22d1
32,Wdsub1
33,Zmat4
34,Shisa5
35,Slc25a17
36,Gstk1
37,Agbl5
38,Stradb
39,Hexim2
40,Rnf166
41,Cdadc1
42,Wdr45
43,Zbtb4
44,Serpinb6a
45,Abi1
46,LOC100504703
47,Abhd6
48,Pnrc1
49,Vstm4
50,Rabgap1l
51,Rnf103
52,Letm2
53,Cbr1
54,Hadhb
55,Aph1c
56,Clk1
57,Mpp1
58,Clmp
59,Metap1d
60,Zfp956
61,Slc6a17
62,Dedd
63,Marc2
64,Fam69b
65,Cpped1
66,Camk1
67,Mterfd2
68,Snapin
69,Rab11fip2
70,Ccs
71,AA414768
72,Rnf167
73,Cnot4
74,Gnas
75,Grn
76,Chmp4b
77,Tmem53
78,Tmem106b
79,Ppap2a
80,Zfp846
81,Azin2
82,Grcc10
83,Ccdc112
84,Mboat7
85,Naga
86,Zfp932
87,Gm2a
88,Slc30a7
89,B3gnt1
90,Polr3gl
91,Mpv17
92,Aga
93,Agbl3
94,Zbtb6
95,Phyh
96,Cirbp
97,Tcp11l2
98,Tmem200a
99,Glt8d1
100,3830406C13Rik
101,Gm20300
102,Plscr3
103,Cldn11
104,3010001F23Rik
105,Cib2
106,5730522E02Rik
107,Rsph9
108,Ppp3ca
109,Cir1
110,Dnal4
111,1700052K11Rik
112,Tsc22d3
113,Qpct
114,Sec22a
115,Gfpt1
116,Tmem175
117,Npc2
118,Ube2w
119,Mxd4
120,Rragc
121,Sri
122,Pde4d
123,Mbnl2
124,Tcea2
125,Zfp108
126,Nrep
127,Dnm1
128,Mmaa
129,R74862
130,Psme1
131,4933439C10Rik
132,Cdk19
133,Rnf180
134,Zfp672
135,Gbas
136,Gid8
137,Fbxo11
138,Yipf4
139,Vegfa
140,Zfp30
141,Cish
142,Fam45a
143,Alcam
144,Foxj2
145,Rnf170
146,Sertad3
147,Jak2
148,Syap1
149,A430033K04Rik
150,Arl13b
151,Rnf11
152,Smim24
153,Tmem198b
154,Sec23a
155,Zfp157
156,Igsf3
157,Slc7a8
158,Zfp784
159,Smyd3
160,Cyp4f13
161,Gria1
162,Sema4a
163,Trpt1
164,Fopnl
165,Gstm7
166,Def6
